pdf_file,extracted_answer
Imlifidase_for_desensitisation_treatment_before_kidney_transplant_in_people_with_chronic_kidney_disease.pdf,"1. Yes, the technology could provide a very significant benefit to selected patients. There remains a need to:
1. Identify the target population
2. Integrate use into the UK allocation policy
3. Standardise H&I practice
4. Protocolise the treatment of antibody recurrence and acute antibody mediated rejection

It could be if used effectively.

2. Yes. The technology is considered a 'step-change' in the management of the condition, potentially improving how current needs are met. It specifically addresses the unmet need of highly sensitised patients without a suitable living kidney donor, who face a much longer wait for a kidney transplant.

3. Yes, the technology is innovative and hopefully will make substantial impact. It would have been useful to conduct a randomised controlled trial comparing the technology with current approaches in light of new allocation scheme; hence it would be important to maintain a register of cases who may receive this drug and report outcome regularly. It will be a step change and open option for managing cases where current approaches has not worked. Yes, Tier 1 wait listed patients particularly who has not received offer despite one year of introduction of the scheme.

4. Yes – there has never been an intervention that allows for rapid cross match conversion / DSA removal in a timeframe compatible with deceased donor kidney transplantation. The clinical trials are innovative and offer a unique solution to the clinical problem. In that sense the trials are a step-change in clinical practice, not a reflection of it."
Ciclosporin_for_treating_dry_eye_disease_that_has_not_improved_despite_treatment_with_artificial_tears.pdf,NULL
Obeticholic_acid_for_treating_primary_biliary_cholangitis.pdf,NULL
Icosapent_ethyl_with_statin_therapy_for_reducing_the_risk_of_cardiovascular_events_in_people_with_raised_triglycerides.pdf,1. Yes - In as much as not currently available and additional clear benefit
Lenvatinib_with_everolimus_for_previously_treated_advanced_renal_cell_carcinoma.pdf,NULL
"Rucaparib_for_maintenance_treatment_of_relapsed_platinum-sensitive_ovarian,_fallopian_tube_or_peritoneal_cancer.pdf",NULL
Pembrolizumab_for_neoadjuvant_and_adjuvant_treatment_of_triple-negative_early_or_locally_advanced_breast_cancer.pdf,"1. Whilst there is early evidence of improved pCR and improved EFS in a single trial, an overall survival benefit has not yet been established. For everyone achieving pCR there would be an improvement in risk of relapse and death. Not currently and not until further data is available on longer term outcome and toxicity data related to the adjuvant treatment which of course may impact on outcome. With required longer term and toxicity data the addition of pembrolizumab may improve pCR rates and potentially longer-term outcome with longer-term EFS and mature OS data awaited.

2. Whilst there is early evidence of improved pCR and improved EFS in a single trial, an overall survival benefit has not yet been established. It would also be important for the trial to provide details of deaths from all causes, to exclude immunotherapy related sequelae contributing to this. For each individual achieving pCR there would be an improvement in risk of relapse and death."
Darvadstrocel_for_treating_complex_perianal_fistulas_in_Crohn’s_disease.pdf,"1. This is a highly innovative technology, in the context of current suboptimal treatments for this particularly difficult and debilitating complication of Crohn’s Disease, and has the potential to represent a step-change in its management.

2. Yes. This is the first approach to use technology specifically designed to heal Crohns fistulae. I am not sure about medium to long term outcomes as data is pretty sparse. Yes-a good proportion of patients end us with radical surgery which should be the last resort. If this can be avoided and patient’s QOL maintained that would go a long way to meeting a need.

3. Yes, in those patients where standard treatment does not offer relief, this has the potential to offer good outcomes and a significant and substantial impact on health-related benefits. It improves the way that current need is met by addressing particular unmet needs of the patient population."
Lebrikizumab_for_treating_moderate_to_severe_atopic_dermatitis_in_people_12_years_and_over.pdf,"1. It is one of several innovative novel biologic treatments for atopic dermatitis. This technology will be used alongside previously identified biologics and Janus kinase inhibitors used for managing people with moderate-to-severe atopic dermatitis.

2. Not a step change on Dupilumab, but potentially an incremental improvement."
Crizotinib_for_untreated_anaplastic_lymphoma_kinase-positive_advanced_non-small-cell_lung_cancer.pdf,NULL
Siponimod_for_treating_secondary_progressive_multiple_sclerosis.pdf,"1. Yes, by reducing the accumulation of neurological disability. It is the first treatment to reduce.

2. Yes, in some instances. Yes

3. Yes – currently limited options
Yes

4. I would consider Siponimod with its application of use in patients with secondary progressive MS to be innovative and addresses a significant clinical unmet need. Siponimod treatment in SPMS has demonstrated a reduced risk of confirmed increase in disability and improved cognition outcome measures. Moreover, this is paralleled with improvements in surrogate outcome measures which include reduced brain atrophy and lesion volume on MRI.

This treatment therefore has the potential to make both direct and indirect positive benefits on health-related outcomes. The direct benefits include the reduction of disability and the associated socio-economic impact and resource utilization of a less disabled cohort of MS patients. The indirect benefits are such that the increased clinical vigilance of patients with secondary progressive MS even if not eligible will enable greater symptomatic and supported care for the condition."
Upadacitinib_for_treating_active_ankylosing_spondylitis.pdf,"1. Yes – improve pain, disease activity and quality of life for patients who have not responded to used therapies currently in use

2. This technology is innovative for 2 main reasons – it is a different mode of action to the currently available treatments. In addition, it's the 1st once daily oral agent available for treatment for axSpA with efficacy that's comparable to TNF blockers and anti IL17 therapy. This technology is a step change in the management of axSpA patients for the reasons outlined above. The biggest unmet need in axSpA currently with available therapies is adequate control of pain and achievement of remission. Patients with needle phobia would also be suitable for this treatment. In addition, for patients with interstitial lung disease, multiple sclerosis or family history of multiple sclerosis who are unable to have anti TNF would be suitable for this treatment. Finally, patients with active inflammatory bowel disease who would not be suitable for anti IL17 therapy, could be treated with this technology."
Crizotinib_for_previously_treated_anaplastic_lymphoma_kinase-positive_advanced_non-small-cell_lung_cancer.pdf,NULL
Eribulin_for_treating_locally_advanced_or_metastatic_breast_cancer_after_1_chemotherapy_regimen.pdf,"1. Using chemotherapy effectively at the best points of the patient pathways allows clinicians to sequence drugs that are most likely to help patients to feel better and potentially live longer with metastatic disease. This drug appears to be effective after other standard therapies, and the increased survival overall suggest that it allows patients to remain fit and still be sensitive to subsequent treatments. We have an increasing number of people who live with metastatic disease for many years. Careful sequencing to minimise side effects and main function/quality of life is very important as often people continue to work, be parents or carers. Agree- use of drugs appropriately according to the evidence helps the NHS to utilize available treatments to improve patient care. The mainstay of most people with metastatic breast cancer is chemotherapy at some point."
Tofacitinib_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,"1. Yes. The mode of action is entirely distinct to any other licensed option for PsA. This is a significant step in our goal or personalised medicine. As we evolve the platform of drugs available, we will move closer to the model of right drug, right patient, first time. It is clear that PsA is a heterogeneous disease, and as the available treatment options grow, we will see the strengths of each agent become clear. For example, the skin / enthesitis / dactylitis responses vary across agents.

Although in recent years we have seen several non-TNF options arrive on the market, none have quite had the same success with treating the articular manifestations of PsA. The two NEJM trials of Tofacitinib have shown impressive articular response data.

2. Tofacitinib is a new class of agent directed at treating psoriatic arthritis and as such represents a beneficial and innovative treatment for patients who have been challenging to treat with currently available therapies. Yes - as this is a treatment that is a new class of agent. This is only the second post DMARD oral medication."
Patiromer_for_treating_hyperkalaemia.pdf,"1. This is a new area on management of patients with electrolyte disorders mainly as a consequence of medications and in part diet. This addition may transform our ability to effectively manage patients with chronic hyperkalaemia. Normalising the diet of patients and maximising treatments (ACE-I and ARB) may have long term benefits but these are yet to be confirmed in randomised controlled trials.

2. It has potential to be innovative in its potential to make a significant and substantial impact on health-related benefits and how might it improve the way that current need is met.

3. At the moment it is the only licensed potassium binder although another is due to come to market soon. There is no other medication licensed for the prevention of hyperkalaemia. Calcium polystyrene sulfate is licensed for the treatment of hyperkalaemia but not the prevention."
Daridorexant_for_treating_long-term_insomnia.pdf,NULL
Lenalidomide_maintenance_treatment_after_an_autologous_stem_cell_transplant_for_newly_diagnosed_multiple_myeloma.pdf,"1. Yes. In the setting of a comparator where maintenance is not routinely used, there is an unmet need as the disease is incurable with a median survival of < 6 years."
Tepotinib_for_treating_advanced_non-small-cell_lung_cancer_with_MET_gene_alterations.pdf,"1. The Quality of Life data mentioned in Section 11, combined with the clinical activity data mentioned in section 11, and the Side Effect data mentioned in Section 17, suggest that Tepotinib will have positive impacts on health-related benefits. This will be an improvement from current therapies because these are probably less effective, have more side effects, and struggle to good clinical benefit in this aggressive sub-type of cancer affecting older patients.

2. Yes, this will be the first oral targeted therapy available for this population within NHS care. This is likely to lead to improvement in outcomes including quality of life and survival, and boost treatment rates. Yes, this abnormality is commonly found in older patients with lung cancer who may not tolerate or accept treatment with chemotherapy with or without immunotherapy in combination."
Xeomin_(botulinum_neurotoxin_type_A)_for_treating_chronic_sialorrhoea.pdf,"1. No

2. As Xeomin has been used pre-licence, it is not a ""step change"" in and of itself. However, as mentioned above, given the heterogeneity of care pathways, lack of guidance around treatment selection, and the lack of licenced medication until now, the appropriate positioning of Xeomin is likely to cause a significant improvement of sialorrhoea management. This addresses a significant unmet need in both patient care, and reduction of the mortality and morbidity associated with sialorrhoea from a health economic perspective. Hence, the appropriate use of this technology could be seen to be a step change in the management of sialorrhoea.

However, as Xeomin requires no cold chain, there is the opportunity for its use in the community. This does represent a step change, and is a significant difference from other preparations of clostridium botulinum toxin serotype A and B. This lack of cold chain permits ease of access to patients otherwise unable to attend clinic, and given the comparatively straightforward dosing regimen, represents an opportunity to improve patient care in a hitherto underused manner.

In addition, Xeomin is free from complexing proteins. Naturally occurring clostridium botulinum is found as a complex of the active neurotoxin and other, clinically inactive, proteins. These complexing proteins are not required for the biological function and clinical benefits of botulinum toxin. Other preparations of botulinum toxin do contain these complexing proteins in varying amounts, forming different complexes. The different proteins, including the active neurotoxin have different immunogenic potential as demonstrated in vitro and in vivo. The basic science of this immunological aspect of botulinum toxin is uncontroversial, and clinical practice reflects this awareness of the immune consequences of the use of botulinum toxin. To date, in over 2.5 million treatment episodes, no treatment naïve patient has been demonstrated to have secondary loss of response to Xeomin treatment due to the production of antibodies. This aspect of Xeomin as a technology does represent a genuine difference, and hence potential step change in the management of sialorrhoea by potentially preserving the efficacy of treatment long term.

3. Is the technology a 'step-change' in the management of the condition?
Does the use of the technology address any particular unmet need of the patient population?"
Cabozantinib_with_nivolumab_for_untreated_advanced_renal_cell_carcinoma.pdf,"1. The technology being discussed shows significant advantages over current treatments available through the NHS, particularly highlighted with examples like the combination of cabozantinib and nivolumab. This combination has shown marked improvements in survival rates and response to treatment for patients with advanced or metastatic RCC, doubling the progression-free survival seen with the previous standard care. Additionally, this combination is noted for maintaining symptom control and quality of life better than other treatments, representing a significant advance in terms of patient wellbeing and clinical outcomes.

The safety profile of the combination treatment is comparable to the individual drugs taken alone, thus presenting a feasible option without additional safety concerns. Furthermore, although immune-related adverse events are a risk, these are manageable with proper intervention, ensuring patient safety.

Overall, these characteristics underline the innovative potential of the technology, not only improving survival but also the quality of life for patients, which is crucial in the context of severe illnesses like RCC. This aligns well with hopes for innovations in healthcare that substantially meet current medical needs while considering both efficacy and patient experience.

2. Not our area of expertise"
Sacituzumab_govitecan_for_treating_unresectable_triple-negative_advanced_breast_cancer_after_2_or_more_therapies.pdf,"1. Yes. This is the first antibody-drug conjugate to demonstrate significant efficacy in TNBC. The prolongation of disease control and overall survival will be invaluable for patients living with this aggressive and poor prognosis condition. The survival benefit is a step-change in the management of this condition. It provides an important and effective treatment for patients with advanced TNBC, who have a very poor prognosis with standard chemotherapy.

2. The psychological benefit of receiving a therapy that you know has a high chance of efficacy cannot be ignored. Yes, the response rate and overall survival benefit make this technology a step-change in the management of this condition. Patients with metastatic TNBC have an unmet need for effective therapies and a poorer median survival than other patients with advanced breast cancer, as outlined above. Patients with PDL-1 negative TNBC who cannot benefit from immunotherapy have a particular unmet need."
Ripretinib_for_treating_advanced_gastrointestinal_stromal_tumour_after_3_or_more_treatments.pdf,"1. Ripretinib is a novel switch-control kinase inhibitor designed to inhibit a wide range of KIT and PDGFRA mutations. It is considered innovative in the setting of relapsed metastatic GIST as it has the potential to improve a patient’s survival and quality of life. The current alternative is no treatment or best supportive care.

2. Quality of life (QoL) improvements would be compared to best supportive care as there are no alternative treatments for this patient population. The improvements in progression-free survival and overall survival are likely to translate into clinical benefit for this patient particularly as side effects from Ripretinib are largely manageable. Therefore I would expect health related benefits to improve with this technology. The INVICTUS study used the standard EORTC QoL measure and this remained stable in the trial in patients on active drug compared to a decrease in QoL measurements for those on placebo. Yes this is a meaningful treatment option for patients with metastatic GIST in the 4th line setting who currently have no other treatment options and which is in my opinion an unmet need. Yes this is a significant 'step change' the first in 5 years since the licensing of Regorafenib . The completion and reporting of the Invictus Phase III study represents a concerted effort by the GIST community worldwide for this rare disease.

3. The technology definitely qualifies as an unmet need in patients whose disease has progressed on 3rd line therapy. There is no standard of care after 3rd line regorafenib. It is innovative and is likely to help patients where no further treatments are available outside a clinical trial."
Nivolumab_with_ipilimumab_for_untreated_unresectable_malignant_pleural_mesothelioma.pdf,"1. YES

POTENTIALLY FOR A SELECTIVE NUMBER OF PATIENTS

N/A TO PATHOLOGY

2. The response extracted from the images is: ""As an expert pathologist this is outside my area of expertise. Yes, I believe it is most beneficial for non-epithelioid mesothelioma.""

3. Yes. This is the first treatment to show a meaningful survival advantage of any kind in over a decade and it is the first time that non-cytotoxic treatment has been shown to help in mesothelioma. Yes – this is the biggest advance in mesothelioma in over a decade of research. Yes – as above, many patients will decline the offer of chemotherapy simply due to it being chemotherapy. The presence of this technology as a treatment option will be more acceptable to greater patients meaning more will benefit from prognosis and symptom enhancing treatment."
Pitolisant_hydrochloride_for_treating_excessive_daytime_sleepiness_caused_by_obstructive_sleep_apnoea.pdf,"1. Yes – no current treatment in this area so could have subsequential benefit (which needs to be offset with the substantial infrastructure improvement needed). Yes, it is a 'step-change' in the management of the condition and addresses any particular unmet need of the patient population as noted above.

2. Yes. Currently no Rx for those failing CPAP.

3. Yes this is a novel drug with novel action. It is easy to take with few side effects and much improved compared with modafinil. It is not clear how many patients have rEDS as they perhaps aren’t investigated or looked for in the current OSA population. Therefore difficult to say if this is a step change. Yes as described. Those with health conditions that genuinely prevent them using CPAP effectively."
Ibrutinib_for_treating_relapsed_or_refractory_mantle_cell_lymphoma.pdf,NULL
Idelalisib_for_treating_refractory_follicular_lymphoma.pdf,"1. Is the technology a 'step-change' in the management of the condition? Does the use of the technology address any particular unmet need of the patient population?

2. Signalling inhibitors are not currently available in the NHS as a treatment option for patients with follicular lymphoma. Given that idelalisib is a first-in-class signalling inhibitor with significant activity in double-refractory FL and taking into account the paucity of alternative treatment options for such patients, the drug can be regarded as a genuine breakthrough in the treatment of this disease. Yes, it would be the first signalling inhibitor to be NICE approved for FL. Yes, idelalisib is suitable for older, less fit patients who would not tolerate further chemoimmunotherapy. This is pertinent given that the median age of patients with newly diagnosed FL is about 60."
Empagliflozin_for_treating_chronic_heart_failure_with_reduced_ejection_fraction.pdf,"1. Empagliflozin joins a number of other SGLT2i’s in demonstrating significant outcome benefits in patients with HFrEF. Therefore, while the EMPEROR-Reduced data may not be innovative, it maintains potential to provide significant health benefits in patients with HFrEF by adding to the therapy options and improving access to specialist HF therapies. The EMPEROR-Reduced trial data adds significant weight to the body of evidence demonstrating significant benefits of SGLT2i's in patients with HFrEF and the SGLT2i class represents a major addition to HF disease-modifying therapy. Empagliflozin improves morbidity, mortality and quality of life in patients with HFrEF thereby addressing the three core areas of unmet need already described."
Belzutifan_for_treating_tumours_associated_with_von_Hippel-Lindau_disease.pdf,"1. Yes, potentially. The technology undoubtedly targets the key pathway in a precise and effective way. Potentially it could decrease the burden of kidney surgery, and reduce damage to other organs (e.g., brain and eye).

2. Yes, the technology is clearly a step change. My understanding is that the response in the trial reads across well into the real world, with a response in many VHL related tumors and a decrease in the rate of needing surgical interventions."
Cochlear_implants_for_children_and_adults_with_severe_to_profound_deafness.pdf,NULL
Cannabidiol_for_treating_seizures_caused_by_tuberous_sclerosis_complex.pdf,1. Yes by reducing seizure burden and associated seizure related risks for patients who are refractory to current treatment options. It is another antiepileptic drug.
Cannabidiol_with_clobazam_for_treating_seizures_associated_with_Dravet_syndrome.pdf,"1. Yes as judged by RCT evidence. No, it is another antiepileptic drug. Yes, as per Q8.

2. The company considers the drug to be innovative. However, clinical experts advise that it will be an addition to the currently available anti-epileptic drugs and is unlikely to represent a step change in treatment since no patient in any of the included trials achieved complete freedom from seizures. The technical team noted that the benefits of CBD in reducing non-convulsive are unlikely to be captured in the QALY calculations."
Lenvatinib_and_sorafenib_for_treating_differentiated_thyroid_cancer_after_radioactive_iodine.pdf,NULL
Human_alpha1-proteinase_inhibitor_for_treating_emphysema_(terminated_appraisal).pdf,"1. Respreeza is an innovative technology. It is the first in class and the only proven disease-modifying agent for A1PI deficiency, a rare genetic disease that is associated with significant morbidity and mortality. Until the development of Respreeza there was no effective licensed treatment option, and no treatment that addresses the underlying cause of the disease. Based on the provided budget impact and cost effectiveness analyses, treatment poses a low financial impact and leads to prolonged survival and retained quality of life in patients with a burdensome and life-limiting condition. It also increases the likelihood that eligible patients will be able to benefit from a lung transplant, by managing their condition until a donor can be found.

Treatment of A1PI deficiency may act as a catalyst for long-term benefits to the NHS based on increased research and innovation, especially the multi-systemic elements of the disease such as respiratory, hepatology, transplantation, genetics, dermatology, renal and paediatrics.

2. Absolutely.

I strongly recommend its availability for use in A1ATD specialist centres.

It is highly novel and will produce a change in the paradigm of care and clinical outcomes.

3. Yes, as delineated by my previous answers on clinical benefits. However it is not a panacea and further research into optimal patient selection, either through registries or biomarker studies in future clinical trials are still likely to be needed. Need would be met by (a) establishing of national centres (b) giving treatment to those most likely to benefit, such that their disease progression slows, disability and death are delayed.

4. The technology being referenced is considered innovative and has significant potential to impact health-related benefits for patients. It has been reported that patients, upon using the technology, have experienced improvements in their general physical and psychological well-being. The technology allows for greater exercise tolerance, less breathlessness, and reduced symptoms of fatigue, muscle and joint discomfort which overall improves the management of the disease. Additionally, it has the potential to mitigate the mental and financial impact of the disease on patients and their families, potentially increasing working hours and reducing the burden of caring. However, it's noted that while the technology ameliorates symptoms and improves quality of life, it does not change the natural history of the disease, which tends to progress inexorably without treatment. Thus, it represents a significant advancement in symptomatic management, rather than altering the underlying progression of the condition."
Ponatinib_for_treating_chronic_myeloid_leukaemia_and_acute_lymphoblastic_leukaemia.pdf,NULL
Avacopan_for_treating_severe_active_granulomatosis_with_polyangiitis_or_microscopic_polyangiitis.pdf,NULL
Entecavir_for_the_treatment_of_chronic_hepatitis_B.pdf,NULL
Isatuximab_with_pomalidomide_and_dexamethasone_for_treating_relapsed_and_refractory_multiple_myeloma.pdf,1. Yes – this combines 2 different classes of treatment successfully for a late stage group of patients. It improves overall responses (60%) at a time when they are low (~35%) and at a time when patients are beginning to develop significant myeloma related co-morbidities.
Panobinostat_for_treating_multiple_myeloma_after_at_least_2_previous_treatments.pdf,NULL
Pembrolizumab_for_adjuvant_treatment_of_renal_cell_carcinoma.pdf,"1. Pembrolizumab is currently approved by several health authorities around the world for use in combination with axitinib as a first medication for patients with advanced RCC. Together with the survival data from the KEYNOTE-564 trial, these results suggest that quality-of-life does not substantially suffer if pembrolizumab is taken for up to a year after surgery as an adjuvant therapy to prevent recurrence of the cancer. 

Patients with intermediate/high risk, locally advanced RCC are desperate for an adjuvant treatment that will prevent recurrence of their disease without affecting their quality of life. This will help to address the stress and anxiety felt by patients and their families and improve their psychosocial wellbeing after surgery for RCC. The benefits of pembrolizumab to patients are reduced recurrence of disease with a tolerable side effect profile and little effect on quality of life. This improves the psychosocial wellbeing of both the patient and their family members, allowing them to get on with their lives without the constant worry of the disease returning and a terminal prognosis.

2. Pembrolizumab is the first immune checkpoint inhibitor to be assessed as an adjuvant treatment for locally advanced RCC. Currently, adjuvant treatment to prevent the spread of intermediate/high risk RCC following surgery is an area of unmet need in the UK. An adjuvant treatment is desperately needed for these patients to improve their wellbeing and quality of life following surgery. Carers, family members and friends of kidney cancer patients would also benefit from less worry about recurrence of the disease following surgery.

Before the COVID-19 pandemic, the UK cancer survival rates trailed about 10 years behind other comparable European countries, including Italy and Austria. If the UK is to improve patient outcomes, including the patient experience as well as overall survival, it is vital that a tolerable and effective adjuvant treatment is made available to patients in order that they may have the best possible care. If adjuvant treatment is not accessible, it leaves UK patients at a major disadvantage in terms of the availability of innovative cancer treatments; these patients are likely to die prematurely compared to other kidney cancer patients in the rest of Europe and North America. Poor UK survival rates might possibly be due to the restrictions in clinical choice brought about by UK regulatory authorities leading to health inequalities between countries.

In the absence of biomarkers for the treatment of RCC, clinicians are not able to predict which patients will respond to which drug, and drug selection is accomplished by trial and error. Clinicians should have the ability to choose the most effective treatment pathway for individual patients, and without an adjuvant treatment, the clinician’s choice is seriously compromised. Some patients will face disease progression following surgery and will ultimately be diagnosed with a terminal condition. They will require treatment for metastatic RCC, along with the psychosocial support and increased cost of treatment that comes with a terminal diagnosis. An adjuvant treatment is paramount for the effective management of the progression of this disease and maintenance of quality of life."
Semaglutide_for_managing_overweight_and_obesity.pdf,"1. Yes. Most people will achieve double digit weight loss which appears to be required to reverse many of the complications of obesity. Yes, patients at high risk of the complications of obesity are not provided treatments which can reverse the existing complications.

2. Yes, this is substantially more effective than anything that has been available up to this time. There is a huge unmet need for treatments for obesity.

3. Yes. Most people will achieve >10% weight loss which appears to be required to reverse many of the complications of obesity. Semaglutide at 2.4mg weekly is by far the most effective treatment for Obesity at the current moment, causing approximately double the weight loss observed by Saxenda. It is therefore a step-change in the management of the condition as this weight loss is expected to improve quality of life, ameliorate obesity-related complications and avoid the need for bariatric surgery for some patients. It is also likely to facilitate other treatments these patients need for obesity-related complications e.g. in vitro fertilisation, joint replacement surgery.

4. Yes. Most people will achieve >10% weight loss which appears to be required to reverse many of the complications of obesity. Semaglutide 2.4mg once weekly represents a step-change in the management of people living with obesity due to its efficacy. At the moment there are no obesity medications to fill the gap between lifestyle interventions and bariatric surgery."
Rivaroxaban_for_preventing_atherothrombotic_events_in_people_with_coronary_or_peripheral_artery_disease.pdf,"1. Not with regard to CAD. Current evidence-based therapy is very effective. The incremental benefits seen do not justify the increased risk of complication, cost and complexity in delivering this technology. Additionally, the trial underpinning the evidence was stopped early due to efficacy benefits and the authors accept that in such situations the treatment effect may be overestimated.

There may, however, be a case to be made for benefits in patients with PAD. It may potentially address the increased risk of CV / limb events in patients with PAD.

2. This may have substantial benefit to patients on aspirin alone by reducing or preventing thromboembolic complications. Yes in a selected group of patients with the condition. Yes, patients on low dose aspirin alone with recurrent events and unable to take dual antiplatelet treatment. Rivaroxaban low dose may cause increase risk of bleeding in some patients especially those with moderate renal impairment.

3. Yes, this is the first anti-thrombotic therapy for secondary prevention that reduces cardiovascular and total mortality. The reduction in stroke was on top of high standards of secondary prevention and hypertension management (please see response to point 8). In my view, and this consistent with the view of international experts in the field, that the COMPASS regimen provides a step change in secondary prevention for higher vascular risk patients. The benefits were achieved on top of a high standard of guideline indicated secondary prevention."
Gilteritinib_for_treating_relapsed_or_refractory_acute_myeloid_leukaemia.pdf,"1. Yes. Gilteritinib is highly innovative as a FLT3-targeted small molecule inhibitor to treat 'FLT3-driven' relapsed / refractory AML. It will potentially remove the need, in many cases, to use non-targeted traditional salvage chemotherapy regimens to bridge the patient to allogeneic stem cell transplant. It competes however with Quizartinib which is seeking approval in broadly the same patient population. Gilteritinib (unlike Quizartinib) is also applicable to patients with FL T3 tyrosine kinase domain (TKD) point mutations (as well as patients FL T3 ITD mutations). We understand that in the Admiral trial there were no significant differences in response rates and survival between patients with ITD and TKD mutations.

2. Yes. Gilteritinib is highly innovative as a FLT3-targeted small molecule inhibitor to treat ‘FLT3-driven’ relapsed / refractory AML. It will potentially remove the need to use non-targeted traditional salvage chemotherapy regimens to bridge the patient to allogeneic stem cell transplant. It competes however with Quizartinib which is seeking approval in broadly the same patient population. Gilteritinib (unlike Quizartinib) is also applicable to patients with FLT3 tyrosine kinase domain (TKD) point mutations (as well as patients FLT3 ITD mutations). We understand that in the Admiral trial there were no significant differences in response rates and survival between patients with ITD and TKD mutations and whether the patient had received therapy with Midostaurin or not. A switch from relatively inefficient non-targeted intensive chemotherapy to an oral targeted treatment approach. The patient population don’t currently have a meaningful effective therapy – median survival is around 2-3 months. With Gilteritinib approximately 50% gain a meaningful response and in around 30% this is sufficient to enable a potentially-curative stem cell transplant to be delivered which will improve survival."
Baricitinib_for_moderate_to_severe_rheumatoid_arthritis.pdf,NULL
Ixekizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,NULL
Ertugliflozin_with_metformin_and_a_dipeptidyl_peptidase-4_inhibitor_for_treating_type_2_diabetes.pdf,"1. No- similar to other products currently available. No No

2. The class as a whole is innovative, but this is the 4th drug in class – no clear differences from others. The class provides new benefits (reduced heart failure, CV death, major adverse cardiovascular events and probably reduced progression of renal disease) that has not yet been shown for ertugliflozin.

3. No, this is an addition to the currently available SGLT-2 inhibitors. No more (or less) than any of the currently available SGLT-2 inhibitors."
Filgotinib_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,1. Yes
Upadacitinib_for_treating_active_non-radiographic_axial_spondyloarthritis.pdf,"1. Yes – improve pain, disease activity, and quality of life for patients who have not responded to therapies currently in use."
Blinatumomab_for_previously_treated_Philadelphia-chromosome-negative_acute_lymphoblastic_leukaemia.pdf,"1. Blinatumomab has demonstrated meaningful and consistent efficacy in adult patients with R/R Ph- B-precursor ALL, in both TOWER and Study MT103-211 (including a comparison with a historical control), represents a major therapeutic innovation and a steep change in the management of patients with this devastating and highly aggressive disease that responds poorly to current salvage chemotherapy regimens and is associated with very poor survival.

Given that blinatumomab is indicated for a rare condition in a very small number of patients (86 per year) who have a huge unmet medical need and who stand to gain substantially from access to blinatumomab, this therapy meets many of the criteria for appraisal under the HST framework. Consequently, blinatumomab should be evaluated taking into account a wider range of criteria about the benefits and costs, as NICE does for HST appraisals. Applying the standard approach to evaluating medicines for this very small group of patients is likely to be unfairly biased against blinatumomab. Given the huge unmet need and the significant clinical benefit including additional benefit not captured by the QALY, blinatumomab is proposed for use in England and Wales for the full licensed population (i.e., in all adult patients with R/R Ph- B-precursor ALL)."
"Abrocitinib,_tralokinumab_or_upadacitinib_for_treating_moderate_to_severe_atopic_dermatitis.pdf",NULL
Upadacitinib_for_previously_treated_moderately_to_severely_active_Crohn’s_disease.pdf,"1. This is the first small molecule oral advanced therapy for Crohn's disease. The clinical trials results are definitely at the upper range in terms of clinical / endoscopic outcomes as compared to comparitors. It will provide a much needed therapy for patients refractory to current treatment who either face life changing surgery or ongoing active disease and significantly impaired QoL.

2. This is a first in class oral treatment option for patients with Crohn's disease therefore I would class this as having a significant impact on the management of patients with Crohn’s disease.

3. Yes. This is a different mechanism of action to available alternatives which is likely to be effective in a proportion of patients who do not respond to other therapies. It is indeed a step change and meets a significant unmet need."
Tafamidis_for_treating_transthyretin_amyloidosis_with_cardiomyopathy.pdf,"1. Yes, there are no currently available treatments for ATTR-CM, so Tafamidis would represent a breakthrough for patients and clinicians. Tafamidis has been shown to reduce all-cause mortality and cardiovascular admissions in ATTR-CM. Reduced admissions lead to reduced workload for heart failure teams. Mortality, cardiovascular admissions, quality of life, and functional capacity are all addressed. Tafamidis is a well-tolerated once daily oral medication with no specific additional monitoring required.

2. Yes, it is innovative. If approved, it would be the first disease modifying treatment we could offer patients with wtATTR-CA that targets the underlying cause of their condition rather than merely treating its complications.

3. Yes – it is first in class drug that has transformed approach to ATTR amyloidosis and will have special utility in the black afro-caribbean population where there is higher incidence of ATTR amyloidosis (due to V122I mutation) and is often advanced due to delayed diagnosis.

4. At present, there are no licensed disease modifying therapies for ATTR-CM available in the UK. Data from RCT and real world observational cohorts consistently demonstrate improved survival, reduced hospitalisations and a slowing of disease progression in patients treated with tafamidis. In this respect, tafamidis represents a significant step-change for patients with ATTR-CM, offering a meaningful advancement in treating this condition. This implies that tafamidis is innovative in its potential to substantially impact health-related benefits and improve how current needs are met in the management of ATTR-CM.

5. This technology does represent a step change, since it would be the first potentially disease modifying treatment to become available for patients with ATTR-CM. However, the lack of measurable / biological markers of response in terms of effect on reducing ATTR amyloid formation is frustrating."
Dapagliflozin_in_triple_therapy_for_treating_type_2_diabetes.pdf,NULL
Pegunigalsidase_alfa_for_treating_Fabry_disease.pdf,NULL
Vibegron_for_treating_symptoms_of_overactive_bladder_syndrome.pdf,NULL
Ganaxolone_for_treating_seizures_caused_by_CDKL5_deficiency_disorder_in_people_2_years_and_over.pdf,1. Yes by reducing seizure burden and associated seizure related risks for patients who are refractory to current treatment options.
