Title,Recommendation text,Decision
Sebelipase alfa for treating lysosomal acid lipase deficiency that is not Wolman disease (terminated appraisal),Recommendation Not Found,Rejected
"Olaparib for maintenance treatment of BRCA mutation-positive advanced ovarian, fallopian tube or peritoneal cancer after response to first-line platinum-based chemotherapy","Olaparib is recommended, within its marketing authorisation, as an option for maintenance treatment of BRCA mutation-positive, advanced (FIGO stages 3 and 4), high-grade epithelial ovarian, fallopian tube or primary peritoneal cancer that has responded to first-line platinum-based chemotherapy in adults. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Human alpha1-proteinase inhibitor for treating emphysema (terminated appraisal),Recommendation Not Found,Rejected
Ritlecitinib for treating severe alopecia areata in people 12 years and over,"Ritlecitinib is recommended, within its marketing authorisation, as an option for treating severe alopecia areata in people 12 years and over. Ritlecitinib is only recommended if the company provides it according to thecommercial arrangement.",Approved
Daratumumab in combination for treating newly diagnosed systemic amyloid light-chain amyloidosis,"Daratumumab plus bortezomib, cyclophosphamide and dexamethasone is recommended as an option for treating newly diagnosed systemic amyloid light-chain (AL) amyloidosis in adults. It is recommended only if: daratumumab is stopped after 24 cycles of treatment, or earlier if the condition progresses, and the company provides daratumumab according to thecommercial arrangement. | This recommendation is not intended to affect treatment with daratumumab plus bortezomib, cyclophosphamide and dexamethasone that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Satralizumab for preventing relapses in neuromyelitis optica spectrum disorders (terminated appraisal),Recommendation Not Found,Rejected
Momelotinib for treating myelofibrosis-related splenomegaly or symptoms,"Momelotinib is recommended as an option for treating myelofibrosis-related splenomegaly or symptoms in adults with moderate to severe anaemia who have not had a JAK inhibitor or have had ruxolitinib, only if: they have intermediate‑2 or high-risk myelofibrosis, and the company provides momelotinib according to thecommercial arrangement. | This recommendation is not intended to affect treatment with momelotinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
"Nirmatrelvir plus ritonavir, sotrovimab and tocilizumab for treating COVID-19","Nirmatrelvir plus ritonavir is recommended as an option for treating COVID‑19 in adults, only if they: do not need supplemental oxygen for COVID‑19 and they have any of the following: an increased risk for progression to severe COVID‑19, as defined insection 5age 70 years and overa body mass index (BMI) of 35 kg/m2or morediabetesheart failure. an increased risk for progression to severe COVID‑19, as defined insection 5 age 70 years and over a body mass index (BMI) of 35 kg/m2or more diabetes heart failure. | Sotrovimab is recommended as an option for treating COVID‑19 in adults and young people aged 12 years and over and weighing at least 40 kg, only if: they do not need supplemental oxygen for COVID‑19 and they have an increased risk for progression to severe COVID‑19, as defined insection 5and nirmatrelvir plus ritonavir is contraindicated or unsuitable.Sotrovimab is only recommended if the company provides it according to thecommercial arrangement. | Tocilizumab is recommended, within its marketing authorisation, as an option for treating COVID‑19 in adults who: are having systemic corticosteroids and need supplemental oxygen or mechanical ventilation.Tocilizumab (branded or biosimilar) is only recommended if the companies provide it according to thecommercial arrangement.",Conditional
Fluocinolone acetonide intravitreal implant for treating chronic diabetic macular oedema,"Fluocinolone acetonide intravitreal implant is recommended, within its marketing authorisation, as an option for treatingvisual impairment caused by chronic diabetic macular oedema that has not responded well enough to available treatments in adults. It is recommended only if the company provides it according to thecommercial arrangement. | For people with the condition in an eye with a natural (phakic) lens, if the person and their clinicians consider fluocinolone acetonide intravitreal implant to be 1 of a range of suitable treatments, after discussing the advantages and disadvantages of all the options, use the least expensive. Take account of administration costs, dosage, price per dose, duration of effect and commercial arrangements.",Conditional
Dupilumab for treating moderate to severe prurigo nodularis,"Dupilumab is not recommended, within its marketing authorisation, for treating moderate to severe prurigo nodularis in adults when systemic treatment is suitable. | This recommendation is not intended to affect treatment with dupilumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Etrasimod for treating moderately to severely active ulcerative colitis in people aged 16 and over,"Etrasimod is recommended, within its marketing authorisation, as an option for moderately to severely active ulcerative colitis in people aged 16 years and over when: conventional or biological treatments cannot be tolerated or the condition has not responded well enough, or lost response to treatment.Etrasimod is only recommended if the company provides it according to thecommercial arrangement. | If people with the condition and their clinicians consider etrasimod to be 1 of a range of suitable treatments, after discussing the advantages and disadvantages of all the options, use the least expensive. Take account of administration costs, dosage, price per dose and commercial arrangements.",Approved
Epcoritamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,"Epcoritamab is recommended as an option for treating relapsed or refractory diffuse large B‑cell lymphoma (DLBCL) in adults after 2 or more systemic treatments, only if: they have had polatuzumab vedotin, or if polatuzumab vedotin is contraindicated or not tolerated, and the company provides epcoritamab according to thecommercial arrangement. | This recommendation is not intended to affect treatment with epcoritamab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Talazoparib for treating HER2-negative advanced breast cancer with germline BRCA mutations,"Talazoparib is recommended, within its marketing authorisation, for treating HER2-negative, locally advanced or metastatic breast cancer with germline BRCA1 or BRCA2 mutations in adults who have had: an anthracycline or a taxane, or both, unless these treatments are not suitable, and endocrine therapy if they have hormone receptor (HR)-positive breast cancer, unless this is not suitable.Talazoparib is only recommended if the company provides it according to thecommercial arrangement.",Approved
Belumosudil for treating chronic graft-versus-host disease after 2 or more systemic treatments in people 12 years and over,"Belumosudil is recommended, within its marketing authorisation, for treatingchronic graft-versus-host disease in people 12 years and over after 2 or more systemic treatments. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Nivolumab–relatlimab for untreated unresectable or metastatic melanoma in people 12 years and over,"Nivolumab–relatlimab is recommended as an option for untreated advanced (unresectable or metastatic) melanoma in people 12 years and over, only if: nivolumab–relatlimab is stopped after 2 years of treatment, or earlier if the cancer progresses, and the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with nivolumab–relatlimab that was started in the NHS before this guidance was published. Anyone having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop. For children or young people, this decision should be made jointly by the clinician, the child or young person, and their parents or carers.",Conditional
Olaparib with abiraterone for untreated hormone-relapsed metastatic prostate cancer,"Olaparib with abiraterone and prednisone or prednisolone is recommended, within its marketing authorisation, as an option for untreated hormone-relapsed metastatic prostate cancer in adults who cannot have or do not want chemotherapy. It is only recommended if the company provides it according to thecommercial arrangements.",Approved
Loncastuximab tesirine for treating relapsed or refractory diffuse large B-cell lymphoma and high-grade B-cell lymphoma after 2 or more systemic treatments,"Loncastuximab tesirine is recommended as an option for treating relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and high-grade B-cell lymphoma (HGBL) after 2 or more systemic treatments in adults, only if: they have previously had polatuzumab vedotin, or if polatuzumab vedotin is contraindicated or not tolerated, and the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with loncastuximab tesirine that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Ivosidenib for treating advanced cholangiocarcinoma with an IDH1 R132 mutation after 1 or more systemic treatments,"Ivosidenib is recommended, within its marketing authorisation, as an option for treating locally advanced or metastatic cholangiocarcinoma with an IDH1 R132 mutation in adults after 1 or more systemic treatments. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Treosulfan with fludarabine before allogeneic stem cell transplant for people aged 1 month to 17 years with non-malignant diseases (terminated appraisal),Recommendation Not Found,Rejected
"Olaparib with bevacizumab for maintenance treatment of advanced high-grade epithelial ovarian, fallopian tube or primary peritoneal cancer","Olaparib with bevacizumab is recommended, within its marketing authorisation, for maintenance treatment of high-grade epithelial ovarian, fallopian tube or primary peritoneal cancer in adults whose cancer: has completely or partially responded after first-line platinum-based chemotherapy with bevacizumab is advanced (International Federation of Gynecology and Obstetrics [FIGO] stages 3 and 4) and is homologous recombination deficiency (HRD) positive (defined as having either a BRCA1 or BRCA2 mutation, or genomic instability).Olaparib is only recommended if the company provides it according to thecommercial arrangement.",Approved
Durvalumab with gemcitabine and cisplatin for treating unresectable or advanced biliary tract cancer,"Durvalumab plus gemcitabine and cisplatin is recommended, within its marketing authorisation, as an option for treating locally advanced, unresectable, or metastatic biliary tract cancer in adults. It is only recommended if the company provides durvalumab according to thecommercial arrangement.",Approved
Targeted-release budesonide for treating primary IgA nephropathy,"Targeted-release budesonide is recommended as an option for treating primary immunoglobulin A nephropathy (IgAN) when there is a risk of rapid disease progression in adults with a urine protein-to-creatinine ratio of 1.5 g/g or more. Targeted-release budesonide is recommended only if: it is an add-on to optimised standard care including the highest tolerated licensed dose of angiotensin-converting enzyme (ACE) inhibitors or angiotensin-receptor blockers (ARBs), unless these are contraindicated the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with targeted-release budesonide that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Ravulizumab for treating generalised myasthenia gravis (terminated appraisal),Recommendation Not Found,Rejected
Ravulizumab for treating AQP4 antibody-positive neuromyelitis optica spectrum disorder (terminated appraisal),Recommendation Not Found,Rejected
Empagliflozin for treating chronic kidney disease,"Empagliflozin is recommended as an option for treating chronic kidney disease (CKD) in adults, only if: it is an add-on to optimised standard care including the highest tolerated licensed dose of angiotensin-converting enzyme (ACE) inhibitors or angiotensin-receptor blockers (ARBs), unless these are contraindicated, and people have an estimated glomerular filtration rate of: 20 ml/min/1.73 m2to less than 45 ml/min/1.73 m2or45 ml/min/1.73 m2to 90 ml/min/1.73 m2and either:a urine albumin-to-creatinine ratio of 22.6 mg/mmol or more, ortype 2 diabetes. 20 ml/min/1.73 m2to less than 45 ml/min/1.73 m2or 45 ml/min/1.73 m2to 90 ml/min/1.73 m2and either: a urine albumin-to-creatinine ratio of 22.6 mg/mmol or more, ortype 2 diabetes. a urine albumin-to-creatinine ratio of 22.6 mg/mmol or more, or type 2 diabetes. | If people with the condition and their clinicians consider empagliflozin to be 1 of a range of suitable treatments (including dapagliflozin), after discussing the advantages and disadvantages of all the options, use the least expensive. Take account of administration costs, dosage, price per dose and commercial arrangements | This recommendation is not intended to affect treatment with empagliflozin that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Hybrid closed loop systems for managing blood glucose levels in type 1 diabetes,"Hybrid closed loop (HCL) systems are recommended as an option for managing blood glucose levels in type 1 diabetes for adults who have an HbA1c of 58 mmol/mol (7.5%) or more, or have disabling hypoglycaemia, despite best possible management with at least 1 of the following: continuous subcutaneous insulin infusion (CSII) real-time continuous glucose monitoring intermittently scanned continuous glucose monitoring.HCL systems are only recommended if they are procured at a cost-effective price agreed by the companies and NHS England,and implemented followingNHS England's implementation plan. | HCL systems are recommended as an option for managing blood glucose levels in type 1 diabetes for children and young people. HCL systems are only recommended if they are procured at a cost-effective price agreed by the companies and NHS England, and implemented followingNHS England's implementation plan. | HCL systems are recommended as an option for managing blood glucose levels in type 1 diabetes for women, trans men and non-binary people who are pregnant or planning to become pregnant. HCL systems are only recommended if they are procured at a cost-effective price agreed by the companies and NHS England, and implemented followingNHS England's implementation plan. | Only use HCL systems with the support of a trained multidisciplinary team experienced in CSII and continuous glucose monitoring in type 1 diabetes. | Only use HCL systems if the person or their carer: is able to use them, and is offered approved face-to-face or digital structured education programmes, or is competent in insulin dosing and adjustments. | These recommendations are not intended to affect use of HCL systems that was started in the NHS before this guidance was published. People using HCL systems outside these recommendations may continue until they and their NHS clinician consider it appropriate to stop. For children and young people, this decision should be made jointly by them, their clinician and their parents or carers.",Rejected
Risdiplam for treating spinal muscular atrophy,"Risdiplam is recommended as an option for treating 5q spinal muscular atrophy (SMA) in people of all ages with a clinical diagnosis of SMA types 1, 2 or 3 or with pre-symptomatic SMA and 1 to 4 SMN2 copies. It is recommended only if the conditions of themanaged access agreementare followed.",Conditional
"Pembrolizumab plus chemotherapy with or without bevacizumab for persistent, recurrent or metastatic cervical cancer","Pembrolizumab plus chemotherapy with or without bevacizumab is recommended as an option for treating persistent, recurrent or metastatic cervical cancer in adults whose tumours express PD‑L1 with a combined positive score of at least 1. It is recommended only if: pembrolizumab is stopped at 2 years of uninterrupted treatment, or earlier if the cancer progresses, and the company provides it according to thecommercial arrangements. | This recommendation is not intended to affect treatment with pembrolizumab plus chemotherapy with or without bevacizumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Dupilumab for treating eosinophilic oesophagitis in people 12 years and over (terminated appraisal),Recommendation Not Found,Rejected
Secukinumab for treating moderate to severe hidradenitis suppurativa,"Secukinumab is recommended as an option for treating active moderate to severe hidradenitis suppurativa (acne inversa) in adults when it has not responded well enough to conventional systemic treatment, only if: adalimumab is not suitable, did not work or has stopped working the company provides secukinumab according to thecommercial arrangements. | Assess response to secukinumab after the first 16 weeks of treatment, and only continue if there is clear evidence of a response, defined as: a reduction of 25% or more in the total abscess and inflammatory nodule count, and no increase in abscesses and draining fistulas. | This recommendation is not intended to affect treatment with secukinumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Idecabtagene vicleucel for treating relapsed and refractory multiple myeloma after 3 or more treatments (terminated appraisal),Recommendation Not Found,Rejected
Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies (terminated appraisal),Recommendation Not Found,Rejected
Foslevodopa–foscarbidopa for treating advanced Parkinson’s with motor symptoms,"Foslevodopa–foscarbidopa is recommended as an option for treating advanced levodopa-responsive Parkinson's in adults whose symptoms include severe motor fluctuations and hyperkinesia or dyskinesia, when available medicines are not working well enough, only if: they cannot have apomorphine or deep brain stimulation, or these treatments no longer control symptoms, and the company provides foslevodopa–foscarbidopa according to thecommercial arrangement. | This recommendation is not intended to affect treatment with foslevodopa–foscarbidopa that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Decitabine–cedazuridine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable (terminated appraisal),Recommendation Not Found,Rejected
Zanubrutinib for treating chronic lymphocytic leukaemia,"Zanubrutinib is recommended as an option for treating chronic lymphocytic leukaemia (CLL) in adults. It is only recommended if the CLL is: untreated and there is a 17p deletion or tumour protein 53 (TP53) mutation orthere is no 17p deletion or TP53 mutation, and fludarabine plus cyclophosphamide and rituximab (FCR), or bendamustine plus rituximab (BR) is unsuitable, or there is a 17p deletion or tumour protein 53 (TP53) mutation or there is no 17p deletion or TP53 mutation, and fludarabine plus cyclophosphamide and rituximab (FCR), or bendamustine plus rituximab (BR) is unsuitable, or relapsed or refractory.Zanubrutinib is recommended only if the company provides it according to thecommercial arrangement. | This recommendation is not intended to affect treatment with zanubrutinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Lutetium-177 vipivotide tetraxetan for treating PSMA-positive hormone-relapsed metastatic prostate cancer after 2 or more treatments,"Lutetium‑177 vipivotide tetraxetan is not recommended, within its marketing authorisation, for treating prostate-specific membrane antigen (PSMA)-positive hormone-relapsed metastatic prostate cancer in adults: after taxane-based chemotherapy and an anti-androgen or when taxanes are 'medically unsuitable'. | This recommendation is not intended to affect treatment with lutetium‑177 vipivotide tetraxetan that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Empagliflozin for treating chronic heart failure with preserved or mildly reduced ejection fraction,"1.1Empagliflozin is recommended, within its marketing authorisation, as an option for treating symptomatic chronic heart failure with preserved or mildly reduced ejection fraction in adults. | 1.2If people with the condition and their clinicians consider empagliflozin to be 1 of a range of suitable treatments (including dapagliflozin), after discussing the advantages and disadvantages of all the options, use the least expensive. Take account of administration costs, dosage, price per dose and commercial arrangements.",Approved
Cabozantinib for previously treated advanced differentiated thyroid cancer unsuitable for or refractory to radioactive iodine,"1.1Cabozantinib is not recommended, within its marketing authorisation, for treating locally advanced or metastatic differentiated thyroid cancer (DTC) that is unsuitable for or refractory to radioactive iodine, and that has progressed after systemic treatment, in adults. | 1.2This recommendation is not intended to affect treatment with cabozantinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Ranibizumab for treating diabetic macular oedema,Recommendation Not Found,Rejected
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma when a stem cell transplant is unsuitable,"Daratumumab with lenalidomide and dexamethasone is recommended, within its marketing authorisation, as an option for untreated multiple myeloma in adults, when an autologous stem cell transplant is unsuitable. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Tirzepatide for treating type 2 diabetes,"1.1Tirzepatide is recommended for treating type 2 diabetes alongside diet and exercise in adults when it is insufficiently controlled only if: | 1.2This recommendation is not intended to affect treatment with tirzepatide that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Baricitinib for treating severe alopecia areata,"1.1Baricitinib is not recommended, within its marketing authorisation, for treating severe alopecia areata in adults. | 1.2This recommendation is not intended to affect treatment with baricitinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
Mirikizumab for treating moderately to severely active ulcerative colitis,"1.1Mirikizumab is recommended as an option for treating moderately to severely active ulcerative colitis in adults when conventional or biological treatment cannot be tolerated, or the condition has not responded well enough or lost response to treatment, only if: | 1.2If people with the condition and their clinicians consider mirikizumab to be 1 of a range of suitable treatments (including vedolizumab and ustekinumab), after discussing the advantages and disadvantages of all the options, use the least expensive. Take into account the administration costs, dosage, price per dose and commercial arrangements. | 1.3These recommendations are not intended to affect treatment with mirikizumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Tabelecleucel for treating post-transplant lymphoproliferative disorder caused by the Epstein-Barr virus (terminated appraisal),Recommendation Not Found,Rejected
Rimegepant for treating migraine,"1.1Rimegepant is recommended as an option for the acute treatment of migraine with or without aura in adults, only if for previous migraines: | 1.2This recommendation is not intended to affect treatment with rimegepant that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Tofacitinib for treating active ankylosing spondylitis,"1.1Tofacitinib is recommended as an option for treating active ankylosing spondylitis that is not controlled well enough with conventional therapy in adults, only if: | 1.2If people with the condition and their clinicians consider tofacitinib to be 1 of a range of suitable treatments (including secukinumab and ixekizumab), after discussing the advantages and disadvantages of all the options, use the least expensive. Take account of administration costs, dosage, price per dose and commercial arrangements. | 1.3Assess response to tofacitinib after 16 weeks of treatment. Continue treatment only if there is clear evidence of response, defined as: | 1.4Take into account any physical, sensory or learning disabilities, or communication difficulties that could affect the responses to the BASDAI and make any adjustments needed. | 1.5These recommendations are not intended to affect treatment with tofacitinib that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Ruxolitinib for treating polycythaemia vera,"1.1Ruxolitinib is recommended, within its marketing authorisation, for treating polycythaemia vera in adultswho cannot tolerate hydroxycarbamide (also called hydroxyurea) or when the condition is resistant to it. It is only recommended if the company provides it according to thecommercial arrangement.",Approved
Daridorexant for treating long-term insomnia,"Daridorexant is recommended for treating insomnia in adults with symptoms lasting for 3 nights or more per week for at least 3 months, and whose daytime functioning is considerably affected, only if: cognitive behavioural therapy for insomnia (CBTi) has been tried but not worked, or CBTi is not available or is unsuitable. | The length of treatment should be as short as possible. Treatment with daridorexant should be assessed within 3 months of starting and should be stopped in people whose long-term insomnia has not responded adequately. If treatment is continued, assess whether it is still working at regular intervals. | This recommendation is not intended to affect treatment with daridorexant that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Glofitamab for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic treatments,"Glofitamab is recommended, within its marketing authorisation, as an option for treating relapsed or refractory diffuse large B‑cell lymphoma in adults after 2 or more systemic treatments. Glofitamab is only recommended if the company provides it according to thecommercial arrangement.",Approved
Bimekizumab for treating axial spondyloarthritis,"Bimekizumab is recommended as an option in adults for treating active ankylosing spondylitis (AS) when conventional therapy has not worked well enough or is not tolerated, or active non‑radiographic axial spondyloarthritis (nr‑axSpA) with objective signs of inflammation (shown by elevated C‑reactive protein or MRI) when non-steroidal anti‑inflammatory drugs (NSAIDs), have not worked well enough or are not tolerated. It is recommended only if: tumour necrosis factor (TNF)-alpha inhibitors are not suitable or do not control the condition well enough, and the company provides it according to thecommercial arrangement. | Assess response to bimekizumab after 16 weeks of treatment. Continue treatment only if there is clear evidence of response, defined as: a reduction in the Bath Ankylosing Spondylitis Disease Activity Index (BASDAI) score to 50% of the pre-treatment value or by 2 or more units, and a reduction in the spinal pain visual analogue scale (VAS) by 2 cm or more. | Take into account any communication difficulties, or physical, psychological, sensory or learning disabilities that could affect responses to the BASDAI and spinal pain VAS questionnaires, and make any appropriate adjustments. | If people with the condition and their clinicians consider bimekizumab to be 1 of a range of suitable treatments (including ixekizumab and secukinumab), after discussing the advantages and disadvantages of all the options, use the least expensive. Take account of administration costs, dosage, price per dose and commercial arrangements. | This recommendation is not intended to affect treatment with bimekizumab that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Pegunigalsidase alfa for treating Fabry disease,"Pegunigalsidase alfa is recommended, within its marketing authorisation, as an option for treatingFabry disease (also known as alpha-galactosidase deficiency) in adults. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Bimekizumab for treating active psoriatic arthritis,"Bimekizumab alone or with methotrexate, is recommended as an option for treating active psoriatic arthritis (defined as peripheral arthritis with 3 or more tender joints and 3 or more swollen joints) in adults whose condition has not responded well enough to disease-modifying antirheumatic drugs (DMARDs) or who cannot tolerate them. It is recommended only if they have had 2 conventional DMARDs and: at least 1 biological DMARD or tumour necrosis factor (TNF)-alpha inhibitors are contraindicated but would otherwise be considered (as described inNICE's technology appraisal guidance on etanercept, infliximab and adalimumab for the treatment of psoriatic arthritis).Bimekizumab is recommended only if the company provides it according to thecommercial arrangement. | Assess response to bimekizumab after 16 weeks of treatment. Stop bimekizumab if the psoriatic arthritis has not responded adequately using the Psoriatic Arthritis Response Criteria (PsARC; an adequate response is an improvement in at least 2 of the 4 criteria, 1 of which must be joint tenderness or swelling score, with no worsening in any of the 4 criteria). If the PsARC response is not adequate but there is a Psoriasis Area and Severity Index (PASI) 75 response, a dermatologist should decide whether continuing treatment is appropriate based on skin response. | Take into account any physical, sensory or learning disabilities, or communication difficulties that could affect the responses to the PsARC and make any adjustments needed. | Take into account how skin colour could affect the PASI score and make any adjustments needed | If people with the condition and their clinicians consider bimekizumab to be 1 of a range of suitable treatments (including ixekizumab and secukinumab), after discussing the advantages and disadvantages of all the options, use the least expensive. Take account of administration costs, dosage, price per dose and commercial arrangements. | These recommendations are not intended to affect treatment with bimekizumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
"Pembrolizumab for previously treated endometrial, biliary, colorectal, gastric or small intestine cancer with high microsatellite instability or mismatch repair deficiency","1.1Pembrolizumab is recommended as an option for treating tumours with high microsatellite instability (MSI) or mismatch repair (MMR) deficiency in adults with: | 1.2This recommendation is not intended to affect treatment with pembrolizumab that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Approved
Mavacamten for treating symptomatic obstructive hypertrophic cardiomyopathy,"1.1Mavacamten is recommended as an option for treating symptomatic obstructive hypertrophic cardiomyopathy in adults who have a New York Heart Association class of 2 to 3. It is recommended only if: | 1.2This recommendation is not intended to affect treatment with mavacamten that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Semaglutide for managing overweight and obesity,"Semaglutide is recommended as an option for weight management, including weight loss and weight maintenance, alongside a reduced-calorie diet and increased physical activity in adults, only if: it is used for a maximum of 2 years, and within a specialist weight management service providing multidisciplinary management of overweight or obesity (including but not limited to tiers 3 and 4), and they have at least 1 weight-related comorbidity and: a body mass index (BMI) of at least 35.0 kg/m2, ora BMI of 30.0 kg/m2to 34.9 kg/m2and meet the criteria for referral to specialist weight management services inNICE's guideline on obesity: identification, assessment and management. a body mass index (BMI) of at least 35.0 kg/m2, or a BMI of 30.0 kg/m2to 34.9 kg/m2and meet the criteria for referral to specialist weight management services inNICE's guideline on obesity: identification, assessment and management. the company provides semaglutide according to thecommercial arrangement.Use lower BMI thresholds (usually reduced by 2.5 kg/m2) for people from South Asian, Chinese, other Asian, Middle Eastern, Black African or African-Caribbean family backgrounds. | Consider stopping semaglutide if less than 5% of the initial weight has been lost after 6 months of treatment. | These recommendations are not intended to affect treatment with semaglutide that was started in the NHS before this guidance was published. People having treatment outside these recommendations may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Cipaglucosidase alfa with miglustat for treating late-onset Pompe disease,"1.1Cipaglucosidase alfa (CIPA) plus miglustat is recommended, within its marketing authorisation, as an option for treating late-onset Pompe disease in adults. It is recommended only if the company provides it according to thecommercial arrangement.",Conditional
Selpercatinib for untreated RET fusion-positive advanced non-small-cell lung cancer,"1.1Selpercatinib is recommended withmanaged accessas an option for treating RET fusion-positive advanced non-small-cell lung cancer (NSCLC) in adults, only if: | 1.2This recommendation is not intended to affect treatment with selpercatinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Conditional
Semaglutide for managing overweight and obesity in young people aged 12 to 17 years (terminated appraisal),Recommendation Not Found,Rejected
Lorlatinib for untreated ALK-positive advanced non-small-cell lung cancer,"1.1Lorlatinib is not recommended, within its marketing authorisation, for treating anaplastic lymphoma kinase (ALK)-positive advanced non-small-cell lung cancer (NSCLC) in adults who have not had an ALK inhibitor. | 1.2This recommendation is not intended to affect treatment with lorlatinib that was started in the NHS before this guidance was published. People having treatment outside this recommendation may continue without change to the funding arrangements in place for them before this guidance was published, until they and their NHS clinician consider it appropriate to stop.",Rejected
