Title,Decision,Decision_Date
Cabotegravir with rilpivirine for treating HIV-1,Approved,2022-01-05
Solriamfetol for treating excessive daytime sleepiness caused by narcolepsy,Conditional,2022-01-05
Belimumab for treating active autoantibody-positive systemic lupus erythematosus,Conditional,2021-12-15
Cenobamate for treating focal onset seizures in epilepsy,Conditional,2021-12-15
Mogamulizumab for previously treated mycosis fungoides and Sézary syndrome,Conditional,2021-12-15
Olaparib for maintenance treatment of BRCA mutation-positive metastatic pancreatic cancer after platinum-based chemotherapy (terminated appraisal),Rejected,2021-12-08
Dupilumab for treating severe asthma with type 2 inflammation,Conditional,2021-12-08
Mexiletine for treating the symptoms of myotonia in non-dystrophic myotonic disorders,Conditional,2021-12-01
Liraglutide for managing obesity in people aged 12 to 17 years (terminated appraisal),Rejected,2021-12-01
Nivolumab for adjuvant treatment of resected oesophageal or gastro-oesophageal junction cancer,Conditional,2021-11-17
Nintedanib for treating progressive fibrosing interstitial lung diseases,Approved,2021-11-17
Upadacitinib for treating moderate rheumatoid arthritis,Conditional,2021-11-10
NBTXR-3 for treating advanced soft tissue sarcoma (terminated appraisal),Rejected,2021-11-10
Apalutamide with androgen deprivation therapy for treating high-risk hormone-relapsed non-metastatic prostate cancer,Conditional,2021-10-28
Apalutamide with androgen deprivation therapy for treating hormone-sensitive metastatic prostate cancer,Conditional,2021-10-28
Atezolizumab for untreated PD-L1-positive advanced urothelial cancer when cisplatin is unsuitable,Conditional,2021-10-27
Tofacitinib for treating juvenile idiopathic arthritis,Conditional,2021-10-20
Nivolumab for treating recurrent or metastatic squamous cell carcinoma of the head and neck after platinum-based chemotherapy,Conditional,2021-10-20
Berotralstat for preventing recurrent attacks of hereditary angioedema,Conditional,2021-10-20
Secukinumab for treating moderate to severe plaque psoriasis in children and young people,Conditional,2021-10-07
Baloxavir marboxil for treating acute uncomplicated influenza (terminated appraisal),Rejected,2021-10-06
Inclisiran for treating primary hypercholesterolaemia or mixed dyslipidaemia,Conditional,2021-10-06
Avapritinib for treating unresectable or metastatic gastrointestinal stromal tumours (terminated appraisal),Rejected,2021-09-29
Vericiguat for treating chronic heart failure with reduced ejection fraction (terminated appraisal),Rejected,2021-09-29
Daratumumab with pomalidomide and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2021-09-22
Isatuximab with carfilzomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2021-09-22
Midostaurin for treating advanced systemic mastocytosis,Conditional,2021-09-22
Sapropterin for treating hyperphenylalaninaemia in phenylketonuria,Conditional,2021-09-22
"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",Conditional,2021-09-15
Nivolumab with ipilimumab and chemotherapy for untreated metastatic non-small-cell lung cancer,Rejected,2021-09-08
Bimekizumab for treating moderate to severe plaque psoriasis,Conditional,2021-09-01
Pemigatinib for treating relapsed or refractory advanced cholangiocarcinoma with FGFR2 fusion or rearrangement,Conditional,2021-08-25
Continuous positive airway pressure for the treatment of obstructive sleep apnoea/hypopnoea syndrome,Approved,2008-03-26
Chlormethine gel for treating mycosis fungoides-type cutaneous T-cell lymphoma,Conditional,2021-08-18
Abiraterone for treating newly diagnosed high-risk hormone-sensitive metastatic prostate cancer,Rejected,2021-08-18
Nivolumab with ipilimumab for previously treated metastatic colorectal cancer with high microsatellite instability or mismatch repair deficiency,Conditional,2021-07-28
Duvelisib for treating relapsed follicular lymphoma after 2 or more systemic therapies (terminated appraisal),Rejected,2021-07-21
Ixekizumab for treating axial spondyloarthritis,Conditional,2021-07-21
Secukinumab for treating non-radiographic axial spondyloarthritis,Conditional,2021-07-21
"Adalimumab, etanercept, infliximab and abatacept for treating moderate rheumatoid arthritis after conventional DMARDs have failed",Rejected,2021-07-14
Dasatinib for treating Philadelphia-chromosome-positive acute lymphoblastic leukaemia (terminated appraisal),Rejected,2021-07-14
Enzalutamide for treating hormone-sensitive metastatic prostate cancer,Approved,2021-07-07
Nivolumab for advanced non-squamous non-small-cell lung cancer after chemotherapy,Conditional,2021-07-07
Apixaban for preventing stroke and systemic embolism in people with non-valvular atrial fibrillation,Approved,2013-02-27
Edoxaban for preventing stroke and systemic embolism in people with non-valvular atrial fibrillation,Approved,2015-09-23
Budesonide orodispersible tablet for inducing remission of eosinophilic oesophagitis,Approved,2021-06-23
Pembrolizumab for untreated metastatic colorectal cancer with high microsatellite instability or mismatch repair deficiency,Conditional,2021-06-23
Ravulizumab for treating atypical haemolytic uraemic syndrome,Approved,2021-06-23
Nivolumab for previously treated unresectable advanced or recurrent oesophageal cancer,Conditional,2021-06-15
Ozanimod for treating relapsing–remitting multiple sclerosis,Rejected,2021-06-09
Atezolizumab monotherapy for untreated advanced non-small-cell lung cancer,Approved,2021-06-02
Ibrutinib with obinutuzumab for untreated chronic lymphocytic leukaemia and small lymphocytic lymphoma (terminated appraisal),Rejected,2021-05-26
Ibrutinib with rituximab for untreated chronic lymphocytic leukaemia (terminated appraisal),Rejected,2021-05-26
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic breast cancer after 2 or more anti-HER2 therapies,Conditional,2021-05-26
Ravulizumab for treating paroxysmal nocturnal haemoglobinuria,Approved,2021-05-19
Ofatumumab for treating relapsing multiple sclerosis,Conditional,2021-05-19
Crisaborole for treating mild to moderate atopic dermatitis in people 2 years and older (terminated appraisal),Rejected,2021-05-19
Pembrolizumab for treating locally advanced or metastatic urothelial carcinoma after platinum-containing chemotherapy,Rejected,2021-04-28
Bempedoic acid with ezetimibe for treating primary hypercholesterolaemia or mixed dyslipidaemia,Conditional,2021-04-28
Carfilzomib with dexamethasone and lenalidomide for previously treated multiple myeloma,Conditional,2021-04-28
Avelumab for treating metastatic Merkel cell carcinoma,Conditional,2018-04-11
Acalabrutinib for treating chronic lymphocytic leukaemia,Conditional,2021-04-21
Avelumab for untreated metastatic Merkel cell carcinoma,Conditional,2021-04-21
Anakinra for treating Still’s disease,Approved,2021-03-31
Blinatumomab for previously treated Philadelphia-chromosome-positive acute lymphoblastic leukaemia (terminated appraisal),Rejected,2021-03-31
"Ribociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",Conditional,2021-03-31
Nivolumab for adjuvant treatment of completely resected melanoma with lymph node involvement or metastatic disease,Conditional,2021-03-17
Erenumab for preventing migraine,Conditional,2021-03-10
"Pembrolizumab with pemetrexed and platinum chemotherapy for untreated, metastatic, non-squamous non-small-cell lung cancer",Conditional,2021-03-10
Lenalidomide maintenance treatment after an autologous stem cell transplant for newly diagnosed multiple myeloma,Conditional,2021-03-03
Baricitinib for treating moderate to severe atopic dermatitis,Conditional,2021-03-03
Filgotinib for treating moderate to severe rheumatoid arthritis,Conditional,2021-02-24
Brexucabtagene autoleucel for treating relapsed or refractory mantle cell lymphoma,Approved,2021-02-24
Omalizumab for treating chronic rhinosinusitis with nasal polyps (terminated appraisal),Rejected,2021-02-24
Dapagliflozin for treating chronic heart failure with reduced ejection fraction,Conditional,2021-02-24
"Niraparib for maintenance treatment of advanced ovarian, fallopian tube and peritoneal cancer after response to first-line platinum-based chemotherapy",Conditional,2021-02-17
"Pembrolizumab for untreated PD-L1-positive, locally advanced or metastatic urothelial cancer when cisplatin is unsuitable (terminated appraisal)",Rejected,2021-02-17
Vernakalant for the rapid conversion of recent onset atrial fibrillation to sinus rhythm (terminated appraisal),Rejected,2021-02-17
Trabectedin for the treatment of advanced soft tissue sarcoma,Approved,2010-02-24
Mepolizumab for treating severe eosinophilic asthma,Conditional,2021-02-03
Brolucizumab for treating wet age-related macular degeneration,Conditional,2021-02-03
Brigatinib for ALK-positive advanced non-small-cell lung cancer that has not been previously treated with an ALK inhibitor,Conditional,2021-01-27
Encorafenib plus cetuximab for previously treated BRAF V600E mutation-positive metastatic colorectal cancer,Conditional,2021-01-06
Atezolizumab with bevacizumab for treating advanced or unresectable hepatocellular carcinoma,Conditional,2020-12-16
Caplacizumab with plasma exchange and immunosuppression for treating acute acquired thrombotic thrombocytopenic purpura,Conditional,2020-12-16
Venetoclax with obinutuzumab for untreated chronic lymphocytic leukaemia,Conditional,2020-12-09
Liraglutide for managing overweight and obesity,Conditional,2020-12-09
Upadacitinib for treating severe rheumatoid arthritis,Conditional,2020-12-09
Darolutamide with androgen deprivation therapy for treating hormone-relapsed non-metastatic prostate cancer,Conditional,2020-11-25
Pembrolizumab for untreated metastatic or unresectable recurrent head and neck squamous cell carcinoma,Conditional,2020-11-25
Durvalumab in combination for untreated extensive-stage small-cell lung cancer (terminated appraisal),Rejected,2020-11-25
Drug-eluting stents for the treatment of coronary artery disease,Conditional,2008-07-23
Guidance on the use of coronary artery stents,Rejected,2003-10-22
Siponimod for treating secondary progressive multiple sclerosis,Conditional,2020-11-18
Carfilzomib for previously treated multiple myeloma,Conditional,2020-11-18
Isatuximab with pomalidomide and dexamethasone for treating relapsed and refractory multiple myeloma,Conditional,2020-11-18
Galcanezumab for preventing migraine,Conditional,2020-11-18
Nivolumab for advanced squamous non-small-cell lung cancer after chemotherapy,Conditional,2020-10-21
Osimertinib for treating EGFR T790M mutation-positive advanced non-small-cell lung cancer,Conditional,2020-10-14
Osimertinib for untreated EGFR mutation-positive non-small-cell lung cancer,Conditional,2020-10-14
Pembrolizumab with axitinib for untreated advanced renal cell carcinoma,Rejected,2020-09-30
Naldemedine for treating opioid-induced constipation,Approved,2020-09-30
Polatuzumab vedotin with rituximab and bendamustine for treating relapsed or refractory diffuse large B-cell lymphoma,Conditional,2020-09-23
Dupilumab for treating chronic rhinosinusitis with nasal polyps (terminated appraisal),Rejected,2020-09-09
Glasdegib with chemotherapy for untreated acute myeloid leukaemia (terminated appraisal),Rejected,2020-09-02
Eculizumab for treating relapsing neuromyelitis optica (terminated appraisal),Rejected,2020-09-02
Avelumab with axitinib for untreated advanced renal cell carcinoma,Conditional,2020-09-02
Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,Approved,2020-08-12
Gilteritinib for treating relapsed or refractory acute myeloid leukaemia,Conditional,2020-08-12
Entrectinib for treating ROS1-positive advanced non-small-cell lung cancer,Conditional,2020-08-12
Entrectinib for treating NTRK fusion-positive solid tumours,Approved,2020-08-12
Treosulfan with fludarabine for malignant disease before allogeneic stem cell transplant,Approved,2020-08-05
Atezolizumab with carboplatin and etoposide for untreated extensive-stage small-cell lung cancer,Conditional,2020-07-01
"Atezolizumab with nab-paclitaxel for untreated PD-L1-positive, locally advanced or metastatic, triple-negative breast cancer",Conditional,2020-07-01
Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma (terminated appraisal),Rejected,2020-06-30
Ramucirumab with erlotinib for untreated EGFR-positive metastatic non-small-cell lung cancer (terminated appraisal),Rejected,2020-06-30
Eculizumab for treating refractory myasthenia gravis (terminated appraisal),Rejected,2020-06-30
Ranibizumab for treating diabetic retinopathy (terminated appraisal),Rejected,2020-06-30
Avatrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,Approved,2020-06-24
Ustekinumab for treating moderately to severely active ulcerative colitis,Conditional,2020-06-17
Trastuzumab emtansine for adjuvant treatment of HER2-positive early breast cancer,Conditional,2020-06-10
Larotrectinib for treating NTRK fusion-positive solid tumours,Approved,2020-05-27
Lorlatinib for previously treated ALK-positive advanced non-small-cell lung cancer,Approved,2020-05-13
Obinutuzumab with bendamustine for treating follicular lymphoma after rituximab,Conditional,2020-05-13
Lenalidomide with rituximab for previously treated follicular lymphoma,Approved,2020-04-07
Recombinant human parathyroid hormone for treating hypoparathyroidism (terminated appraisal),Rejected,2020-03-04
Peginterferon beta-1a for treating relapsing–remitting multiple sclerosis,Approved,2020-02-19
Patiromer for treating hyperkalaemia,Conditional,2020-02-13
Sotagliflozin with insulin for treating type 1 diabetes,Conditional,2020-02-12
Atezolizumab with carboplatin and nab-paclitaxel for untreated advanced non-squamous non-small-cell lung cancer (terminated appraisal),Rejected,2020-01-15
Lusutrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,Approved,2020-01-08
Cannabidiol with clobazam for treating seizures associated with Dravet syndrome,Conditional,2019-12-18
Cannabidiol with clobazam for treating seizures associated with Lennox–Gastaut syndrome,Conditional,2019-12-18
"Neratinib for extended adjuvant treatment of hormone receptor-positive, HER2-positive early stage breast cancer after adjuvant trastuzumab",Conditional,2019-11-20
Pentosan polysulfate sodium for treating bladder pain syndrome,Conditional,2019-11-13
Ibrutinib with rituximab for treating Waldenstrom’s macroglobulinaemia (terminated appraisal),Rejected,2019-10-30
Ramucirumab for treating unresectable hepatocellular carcinoma after sorafenib (terminated appraisal),Rejected,2019-10-30
Rivaroxaban for preventing atherothrombotic events in people with coronary or peripheral artery disease,Approved,2019-10-17
Lanadelumab for preventing recurrent attacks of hereditary angioedema,Conditional,2019-10-16
Xeomin (botulinum neurotoxin type A) for treating chronic sialorrhoea,Conditional,2019-10-09
Idelalisib for treating refractory follicular lymphoma,Rejected,2019-10-02
Lenalidomide with bortezomib and dexamethasone for untreated multiple myeloma (terminated appraisal),Rejected,2019-09-25
Pomalidomide with bortezomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2019-09-25
Benralizumab for treating severe eosinophilic asthma,Conditional,2019-03-06
Risankizumab for treating moderate to severe plaque psoriasis,Conditional,2019-08-21
Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),Rejected,2019-08-14
Dacomitinib for untreated EGFR mutation-positive non-small-cell lung cancer,Conditional,2019-08-14
Fluocinolone acetonide intravitreal implant for treating recurrent non-infectious uveitis,Conditional,2019-07-31
Letermovir for preventing cytomegalovirus disease after a stem cell transplant,Conditional,2019-07-31
Nusinersen for treating spinal muscular atrophy,Conditional,2019-07-24
Blinatumomab for treating acute lymphoblastic leukaemia in remission with minimal residual disease activity,Conditional,2019-07-24
Bisphosphonates for treating osteoporosis,Rejected,2017-08-09
Lenalidomide for treating myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality,Conditional,2014-09-24
Lenalidomide for the treatment of multiple myeloma in people who have received at least 2 prior therapies,Conditional,2009-06-18
Lenalidomide plus dexamethasone for multiple myeloma after 1 treatment with bortezomib,Conditional,2019-06-26
Lenalidomide plus dexamethasone for previously untreated multiple myeloma,Conditional,2019-06-26
Ocrelizumab for treating primary progressive multiple sclerosis,Conditional,2019-06-12
Ertugliflozin with metformin and a dipeptidyl peptidase-4 inhibitor for treating type 2 diabetes,Conditional,2019-06-05
Atezolizumab in combination for treating metastatic non-squamous non-small-cell lung cancer,Approved,2019-06-05
Enzalutamide for hormone-relapsed non-metastatic prostate cancer,Rejected,2019-05-15
Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,Conditional,2019-04-24
Certolizumab pegol for treating moderate to severe plaque psoriasis,Conditional,2019-04-17
Bosutinib for untreated chronic myeloid leukaemia (terminated appraisal),Rejected,2019-04-17
Tildrakizumab for treating moderate to severe plaque psoriasis,Conditional,2019-04-17
Ertugliflozin as monotherapy or with metformin for treating type 2 diabetes,Conditional,2019-03-27
Brigatinib for treating ALK-positive advanced non-small-cell lung cancer after crizotinib,Conditional,2019-03-20
Pembrolizumab for treating recurrent or metastatic squamous cell carcinoma of the head and neck after platinum-based chemotherapy (terminated appraisal),Rejected,2019-03-20
Pertuzumab for adjuvant treatment of HER2-positive early stage breast cancer,Conditional,2019-03-20
Abatacept for treating psoriatic arthritis after DMARDs (terminated appraisal),Rejected,2019-03-13
Cochlear implants for children and adults with severe to profound deafness,Rejected,2019-03-07
Venetoclax with rituximab for previously treated chronic lymphocytic leukaemia,Conditional,2019-02-27
Encorafenib with binimetinib for unresectable or metastatic BRAF V600 mutation-positive melanoma,Conditional,2019-02-27
"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Conditional,2019-02-27
"Bevacizumab with carboplatin, gemcitabine and paclitaxel for treating the first recurrence of platinum-sensitive advanced ovarian cancer (terminated appraisal)",Rejected,2019-02-20
Regorafenib for previously treated advanced hepatocellular carcinoma,Conditional,2019-01-09
Darvadstrocel for treating complex perianal fistulas in Crohn’s disease,Rejected,2019-01-09
Lenvatinib for untreated advanced hepatocellular carcinoma,Conditional,2018-12-19
Liposomal cytarabine–daunorubicin for untreated acute myeloid leukaemia,Conditional,2018-12-19
Vandetanib for treating medullary thyroid cancer,Rejected,2018-12-12
Decitabine for untreated acute myeloid leukaemia (terminated appraisal),Rejected,2018-12-05
Denosumab for preventing skeletal-related events in multiple myeloma (terminated appraisal),Rejected,2018-12-05
Tofacitinib for moderately to severely active ulcerative colitis,Conditional,2018-11-28
Padeliporfin for untreated localised prostate cancer,Rejected,2018-11-21
Gemtuzumab ozogamicin for untreated acute myeloid leukaemia,Conditional,2018-11-14
Eltrombopag for treating chronic immune thrombocytopenia,Conditional,2013-07-24
Romiplostim for the treatment of chronic immune thrombocytopenia,Conditional,2011-04-27
Dabrafenib with trametinib for adjuvant treatment of resected BRAF V600 mutation-positive melanoma,Conditional,2018-10-17
Tofacitinib for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2018-10-03
Cabozantinib for untreated advanced renal cell carcinoma,Conditional,2018-10-03
Inotuzumab ozogamicin for treating relapsed or refractory B-cell acute lymphoblastic leukaemia,Conditional,2018-09-19
Lutetium (177Lu) oxodotreotide for treating unresectable or metastatic neuroendocrine tumours,Conditional,2018-08-29
Dinutuximab beta for treating neuroblastoma,Conditional,2018-08-22
Lenvatinib and sorafenib for treating differentiated thyroid cancer after radioactive iodine,Conditional,2018-08-08
Alectinib for untreated ALK-positive advanced non-small-cell lung cancer,Conditional,2018-08-08
Ixekizumab for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2018-08-08
Dupilumab for treating moderate to severe atopic dermatitis,Conditional,2018-08-01
Ocrelizumab for treating relapsing–remitting multiple sclerosis,Conditional,2018-07-25
Pembrolizumab for untreated PD-L1-positive metastatic non-small-cell lung cancer,Conditional,2018-07-18
Nivolumab for treating locally advanced unresectable or metastatic urothelial cancer after platinum-containing chemotherapy,Rejected,2018-07-04
Beta interferons and glatiramer acetate for treating multiple sclerosis,Rejected,2018-06-27
"Donepezil, galantamine, rivastigmine and memantine for the treatment of Alzheimer's disease",Approved,2011-03-23
502 Bad Gateway,Rejected,2018-06-13
Midostaurin for untreated acute myeloid leukaemia,Conditional,2018-06-13
Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,Conditional,2018-06-13
Atezolizumab for treating locally advanced or metastatic urothelial carcinoma after platinum-containing chemotherapy,Conditional,2018-06-13
Arsenic trioxide for treating acute promyelocytic leukaemia,Approved,2018-06-13
Atezolizumab for treating locally advanced or metastatic non-small-cell lung cancer after chemotherapy,Conditional,2018-05-16
Tocilizumab for treating giant cell arteritis,Conditional,2018-04-18
Eribulin for treating locally advanced or metastatic breast cancer after 1 chemotherapy regimen,Rejected,2018-03-28
Cabozantinib for treating medullary thyroid cancer,Conditional,2018-03-28
Brodalumab for treating moderate to severe plaque psoriasis,Conditional,2018-03-21
Tivozanib for treating advanced renal cell carcinoma,Conditional,2018-03-21
Obinutuzumab for untreated advanced follicular lymphoma,Conditional,2018-03-21
Autologous chondrocyte implantation using chondrosphere for treating symptomatic articular cartilage defects of the knee,Conditional,2018-03-07
Pertuzumab with trastuzumab and docetaxel for treating HER2-positive breast cancer,Conditional,2018-03-07
Sofosbuvir–velpatasvir–voxilaprevir for treating chronic hepatitis C,Conditional,2018-02-21
Raloxifene for the primary prevention of osteoporotic fragility fractures in postmenopausal women,Rejected,2008-10-27
Raloxifene and teriparatide for the secondary prevention of osteoporotic fragility fractures in postmenopausal women,Approved,2008-10-27
Pirfenidone for treating idiopathic pulmonary fibrosis,Conditional,2018-02-06
Intrabeam radiotherapy system for adjuvant treatment of early breast cancer,Rejected,2018-01-31
Ibrutinib for treating relapsed or refractory mantle cell lymphoma,Conditional,2018-01-31
Fulvestrant for untreated locally advanced or metastatic oestrogen-receptor positive breast cancer,Rejected,2018-01-31
Lenvatinib with everolimus for previously treated advanced renal cell carcinoma,Conditional,2018-01-24
Glecaprevir–pibrentasvir for treating chronic hepatitis C,Conditional,2018-01-24
Ceritinib for untreated ALK-positive non-small-cell lung cancer,Conditional,2018-01-24
Golimumab for treating non-radiographic axial spondyloarthritis,Conditional,2018-01-10
"Palbociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Conditional,2017-12-20
"Ribociclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Conditional,2017-12-20
Naltrexone–bupropion for managing overweight and obesity,Rejected,2017-12-12
Vismodegib for treating basal cell carcinoma,Rejected,2017-11-22
Trastuzumab emtansine for treating HER2-positive advanced breast cancer after trastuzumab and a taxane,Conditional,2017-07-19
Regorafenib for previously treated unresectable or metastatic gastrointestinal stromal tumours,Conditional,2017-11-15
Sarilumab for moderate to severe rheumatoid arthritis,Conditional,2017-11-01
Aflibercept for treating choroidal neovascularisation,Conditional,2017-11-01
Tofacitinib for moderate to severe rheumatoid arthritis,Conditional,2017-10-11
Immunosuppressive therapy for kidney transplant in adults,Rejected,2017-10-11
Immunosuppressive therapy for kidney transplant in children and young people,Rejected,2017-10-11
Autologous chondrocyte implantation for treating symptomatic articular cartilage defects of the knee,Conditional,2017-10-04
Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,Conditional,2017-10-04
Reslizumab for treating severe eosinophilic asthma,Conditional,2017-10-04
Cetuximab and panitumumab for previously untreated metastatic colorectal cancer,Approved,2017-03-29
Pembrolizumab for advanced melanoma not previously treated with ipilimumab,Approved,2015-11-25
Pembrolizumab for treating PD-L1-positive non-small-cell lung cancer after chemotherapy,Conditional,2017-01-11
Pembrolizumab for treating advanced melanoma after disease progression with ipilimumab,Approved,2015-10-07
Sorafenib for treating advanced hepatocellular carcinoma,Conditional,2017-09-06
Dimethyl fumarate for treating moderate to severe plaque psoriasis,Conditional,2017-09-06
Paclitaxel as albumin-bound nanoparticles with gemcitabine for untreated metastatic pancreatic cancer,Conditional,2017-09-06
Cetuximab for treating recurrent or metastatic squamous cell cancer of the head and neck,Approved,2017-08-31
Methylnaltrexone bromide for treating opioid-induced constipation (terminated appraisal),Rejected,2017-08-23
Idelalisib with ofatumumab for treating chronic lymphocytic leukaemia (terminated appraisal),Rejected,2017-08-23
Holoclar for treating limbal stem cell deficiency after eye burns,Conditional,2017-08-16
Pemetrexed for the maintenance treatment of non-small-cell lung cancer,Approved,2010-06-23
Cabozantinib for previously treated advanced renal cell carcinoma,Conditional,2017-08-09
Baricitinib for moderate to severe rheumatoid arthritis,Conditional,2017-08-09
Adalimumab and dexamethasone for treating non-infectious uveitis,Conditional,2017-07-26
Roflumilast for treating chronic obstructive pulmonary disease,Conditional,2017-07-26
Nivolumab for treating relapsed or refractory classical Hodgkin lymphoma,Approved,2017-07-26
"Adalimumab, etanercept and ustekinumab for treating plaque psoriasis in children and young people",Conditional,2017-07-12
Ustekinumab for moderately to severely active Crohn’s disease after previous treatment,Approved,2017-07-12
Ibrutinib for untreated chronic lymphocytic leukaemia without a 17p deletion or TP53 mutation (terminated appraisal),Rejected,2017-07-05
Bortezomib for treating multiple myeloma after second or subsequent relapse (terminated appraisal),Rejected,2017-07-05
Daratumumab with lenalidomide and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2017-07-05
Etelcalcetide for treating secondary hyperparathyroidism,Conditional,2017-06-28
Everolimus and sunitinib for treating unresectable or metastatic neuroendocrine tumours in people with progressive disease,Approved,2017-06-28
Blinatumomab for previously treated Philadelphia-chromosome-negative acute lymphoblastic leukaemia,Conditional,2017-06-28
Ponatinib for treating chronic myeloid leukaemia and acute lymphoblastic leukaemia,Conditional,2017-06-28
Afatinib for treating advanced squamous non-small-cell lung cancer after platinum-based chemotherapy (terminated appraisal),Rejected,2017-05-24
Certolizumab pegol and secukinumab for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2017-05-24
Pegylated liposomal irinotecan for treating pancreatic cancer after gemcitabine,Rejected,2017-04-26
Ixekizumab for treating moderate to severe plaque psoriasis,Conditional,2017-04-26
Obeticholic acid for treating primary biliary cholangitis,Conditional,2017-04-26
Alectinib for previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer (terminated appraisal),Rejected,2017-03-29
Panitumumab in combination with chemotherapy for the treatment of metastatic colorectal cancer (terminated appraisal),Rejected,2011-12-14
Bevacizumab for treating EGFR mutation-positive non-small-cell lung cancer (terminated appraisal),Rejected,2017-03-22
Ibrutinib with bendamustine and rituximab for treating relapsed or refractory chronic lymphocytic leukaemia after systemic therapy (terminated appraisal),Rejected,2017-03-22
Elotuzumab for previously treated multiple myeloma (terminated appraisal),Rejected,2017-03-22
Tenofovir alafenamide for treating chronic hepatitis B (terminated appraisal),Rejected,2017-03-22
Ustekinumab for treating active psoriatic arthritis,Rejected,2015-06-04
Ustekinumab for the treatment of adults with moderate to severe psoriasis,Approved,2009-09-23
Everolimus for advanced renal cell carcinoma after previous treatment,Conditional,2017-02-22
Apremilast for treating active psoriatic arthritis,Conditional,2017-02-22
Ibrutinib for previously treated chronic lymphocytic leukaemia and untreated chronic lymphocytic leukaemia with 17p deletion or TP53 mutation,Approved,2017-01-25
Sofosbuvir–velpatasvir for treating chronic hepatitis C,Conditional,2017-01-25
Pomalidomide for multiple myeloma previously treated with lenalidomide and bortezomib,Approved,2017-01-11
Everolimus with exemestane for treating advanced breast cancer after endocrine therapy,Conditional,2016-12-21
Crizotinib for previously treated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,Conditional,2016-12-21
Eribulin for treating locally advanced or metastatic breast cancer after 2 or more chemotherapy regimens,Approved,2016-12-21
Pertuzumab for the neoadjuvant treatment of HER2-positive breast cancer,Conditional,2016-12-21
"Dasatinib, nilotinib and high-dose imatinib for treating imatinib-resistant or intolerant chronic myeloid leukaemia",Rejected,2016-12-21
"Dasatinib, nilotinib and imatinib for untreated chronic myeloid leukaemia",Conditional,2016-12-21
Ticagrelor for preventing atherothrombotic events after myocardial infarction,Approved,2016-12-14
Dapagliflozin in combination therapy for treating type 2 diabetes,Rejected,2013-06-26
Nivolumab for previously treated advanced renal cell carcinoma,Approved,2016-11-23
Dapagliflozin in triple therapy for treating type 2 diabetes,Approved,2016-11-23
Apremilast for treating moderate to severe plaque psoriasis,Conditional,2016-11-23
Certolizumab pegol for treating rheumatoid arthritis after inadequate response to a TNF-alpha inhibitor,Conditional,2016-10-26
Elbasvir–grazoprevir for treating chronic hepatitis C,Conditional,2016-10-26
Cobimetinib in combination with vemurafenib for treating unresectable or metastatic BRAF V600 mutation-positive melanoma,Rejected,2016-10-26
Necitumumab for untreated advanced or metastatic squamous non-small-cell lung cancer,Rejected,2016-09-28
Radium-223 dichloride for treating hormone-relapsed prostate cancer with bone metastases,Conditional,2016-09-28
Crizotinib for untreated anaplastic lymphoma kinase-positive advanced non-small-cell lung cancer,Conditional,2016-09-28
Secukinumab for active ankylosing spondylitis after treatment with non-steroidal anti-inflammatory drugs or TNF-alpha inhibitors,Conditional,2016-09-28
Pegaspargase for treating acute lymphoblastic leukaemia,Approved,2016-09-28
Aflibercept for treating visual impairment caused by macular oedema after branch retinal vein occlusion,Conditional,2016-09-28
Talimogene laherparepvec for treating unresectable metastatic melanoma,Conditional,2016-09-28
Bosutinib for previously treated chronic myeloid leukaemia,Approved,2016-08-24
Pemetrexed maintenance treatment for non-squamous non-small-cell lung cancer after pemetrexed and cisplatin,Approved,2016-08-24
Ramucirumab for previously treated locally advanced or metastatic non-small-cell lung cancer,Rejected,2016-08-24
