PDF File,Number of RCTs,Number of Patients
Entrectinib_for_treating_ROS1-positive_advanced_non-small-cell_lung_cancer.pdf,3.0,357.0
Cabotegravir_with_rilpivirine_for_treating_HIV-1.pdf,2.0,1249.0
Brentuximab_vedotin_for_treating_relapsed_or_refractory_systemic_anaplastic_large_cell_lymphoma.pdf,0.0,0.0
Sebelipase_alfa_for_treating_lysosomal_acid_lipase_deficiency_that_is_not_Wolman_disease_(terminated_appraisal).pdf,,
Lutetium-177_vipivotide_tetraxetan_for_treating_PSMA-positive_hormone-relapsed_metastatic_prostate_cancer_after_2_or_more_treatments.pdf,1.0,831.0
"Ribociclib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative_advanced_breast_cancer_after_endocrine_therapy.pdf",,
Trifluridine–tipiracil_for_previously_treated_metastatic_colorectal_cancer.pdf,2.0,972.0
Bimekizumab_for_treating_moderate_to_severe_hidradenitis_suppurativa_(terminated_appraisal).pdf,2.0,1014.0
Upadacitinib_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,2.0,2270.0
Tocilizumab_for_treating_giant_cell_arteritis.pdf,1.0,251.0
Dostarlimab_with_platinum-based_chemotherapy_for_treating_advanced_or_recurrent_endometrial_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,1.0,470.0
Ombitasvir–paritaprevir–ritonavir_with_or_without_dasabuvir_for_treating_chronic_hepatitis_C.pdf,,
"Pembrolizumab_with_pemetrexed_and_platinum_chemotherapy_for_untreated,_metastatic,_non-squamous_non-small-cell_lung_cancer.pdf",,
Bosutinib_for_previously_treated_chronic_myeloid_leukaemia.pdf,,
"Adalimumab,_etanercept,_infliximab_and_abatacept_for_treating_moderate_rheumatoid_arthritis_after_conventional_DMARDs_have_failed.pdf",,
Nivolumab_with_chemotherapy_for_neoadjuvant_treatment_of_resectable_non-small-cell_lung_cancer.pdf,1.0,358.0
Brexucabtagene_autoleucel_for_treating_relapsed_or_refractory_mantle_cell_lymphoma.pdf,1.0,81.0
Hybrid_closed_loop_systems_for_managing_blood_glucose_levels_in_type_1_diabetes.pdf,,
Apalutamide_with_androgen_deprivation_therapy_for_treating_hormone-sensitive_metastatic_prostate_cancer.pdf,,
Nivolumab_for_treating_recurrent_or_metastatic_squamous_cell_carcinoma_of_the_head_and_neck_after_platinum-based_chemotherapy.pdf,,
"Abatacept,_adalimumab,_etanercept_and_tocilizumab_for_treating_juvenile_idiopathic_arthritis.pdf",,
Certolizumab_pegol_and_secukinumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,,
Ruxolitinib_for_treating_polycythaemia_vera.pdf,2.0,371.0
Tirzepatide_for_treating_type_2_diabetes.pdf,3.0,4793.0
Lorlatinib_for_untreated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,1.0,296.0
Cannabidiol_with_clobazam_for_treating_seizures_associated_with_Lennox–Gastaut_syndrome.pdf,,
Beta_interferons_and_glatiramer_acetate_for_treating_multiple_sclerosis.pdf,,
Momelotinib_for_treating_myelofibrosis-related_splenomegaly_or_symptoms.pdf,3.0,750.0
Palforzia_for_treating_peanut_allergy_in_children_and_young_people.pdf,3.0,1088.0
Risankizumab_for_previously_treated_moderately_to_severely_active_Crohn's_disease.pdf,3.0,1931.0
Selpercatinib_for_untreated_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,1.0,796.0
Regorafenib_for_previously_treated_advanced_hepatocellular_carcinoma.pdf,,
Anakinra_for_treating_Still’s_disease.pdf,1.0,204.0
Upadacitinib_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,3.0,1982.0
Pembrolizumab_with_axitinib_for_untreated_advanced_renal_cell_carcinoma.pdf,,
"Abemaciclib_with_an_aromatase_inhibitor_for_previously_untreated,_hormone_receptor-positive,_HER2-negative,_locally_advanced_or_metastatic_breast_cancer.pdf",1.0,493.0
Daratumumab_in_combination_for_untreated_multiple_myeloma_when_a_stem_cell_transplant_is_suitable.pdf,1.0,1085.0
Sacubitril_valsartan_for_treating_symptomatic_chronic_heart_failure_with_reduced_ejection_fraction.pdf,1.0,8422.0
Dabrafenib_with_trametinib_for_treating_BRAF_V600E_mutation-positive_glioma_in_children_and_young_people_aged_1_year_and_over.pdf,1.0,151.0
Maribavir_for_treating_refractory_cytomegalovirus_infection_after_transplant.pdf,1.0,315.0
Inotuzumab_ozogamicin_for_treating_relapsed_or_refractory_B-cell_acute_lymphoblastic_leukaemia.pdf,,
Brexucabtagene_autoleucel_for_treating_relapsed_or_refractory_B-cell_acute_lymphoblastic_leukaemia_in_people_26_years_and_over.pdf,1.0,50.0
Ocrelizumab_for_treating_primary_progressive_multiple_sclerosis.pdf,1.0,732.0
Ceritinib_for_untreated_ALK-positive_non-small-cell_lung_cancer.pdf,1.0,189.0
Ixekizumab_for_treating_axial_spondyloarthritis.pdf,3.0,935.0
Tisagenlecleucel_for_treating_relapsed_or_refractory_B-cell_acute_lymphoblastic_leukaemia_in_people_25 years_and_under.pdf,3.0,200.0
Apremilast_for_treating_active_psoriatic_arthritis.pdf,,
Selinexor_with_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma_after_4_or_more_treatments.pdf,0.0,0.0
Ramucirumab_for_treating_advanced_gastric_cancer_or_gastro–oesophageal_junction_adenocarcinoma_previously_treated_with_chemotherapy.pdf,,
Dapagliflozin_for_treating_chronic_heart_failure_with_reduced_ejection_fraction.pdf,1.0,4744.0
"Pembrolizumab_plus_chemotherapy_with_or_without_bevacizumab_for_persistent,_recurrent_or_metastatic_cervical_cancer.pdf",,
Obinutuzumab_for_untreated_advanced_follicular_lymphoma.pdf,1.0,1202.0
Midostaurin_for_untreated_acute_myeloid_leukaemia.pdf,,
Benralizumab_for_treating_severe_eosinophilic_asthma.pdf,3.0,2508.0
Bempedoic_acid_with_ezetimibe_for_treating_primary_hypercholesterolaemia_or_mixed_dyslipidaemia.pdf,6.0,4764.0
502_Bad_Gateway.pdf,3.0,837.0
Atezolizumab_with_carboplatin_and_etoposide_for_untreated_extensive-stage_small-cell_lung_cancer.pdf,1.0,403.0
Talazoparib_for_treating_HER2-negative_advanced_breast_cancer_with_germline_BRCA_mutations.pdf,1.0,429.0
Ruxolitinib_for_treating_disease-related_splenomegaly_or_symptoms_in_adults_with_myelofibrosis.pdf,,
Venetoclax_with_azacitidine_for_untreated_acute_myeloid_leukaemia_when_intensive_chemotherapy_is_unsuitable.pdf,2.0,811.0
"Topotecan,_pegylated_liposomal_doxorubicin_hydrochloride,_paclitaxel,_trabectedin_and_gemcitabine_for_treating_recurrent_ovarian_cancer.pdf",,
Adalimumab_and_dexamethasone_for_treating_non-infectious_uveitis.pdf,,
Cetuximab_for_treating_recurrent_or_metastatic_squamous_cell_cancer_of_the_head_and_neck.pdf,,
Secukinumab_for_treating_non-radiographic_axial_spondyloarthritis.pdf,0.0,0.0
Sodium_zirconium_cyclosilicate_for_treating_hyperkalaemia.pdf,,
Dupilumab_for_treating_severe_asthma_with_type_2_inflammation.pdf,,
Avapritinib_for_treating_unresectable_or_metastatic_gastrointestinal_stromal_tumours_(terminated_appraisal).pdf,1.0,56.0
Azacitidine_for_treating_acute_myeloid_leukaemia_with_more_than_30%_bone_marrow_blasts.pdf,1.0,488.0
Nivolumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma.pdf,0.0,0.0
Pembrolizumab_for_adjuvant_treatment_of_resected_stage_2B_or_2C_melanoma.pdf,,
Diroximel_fumarate_for_treating_relapsing–remitting_multiple_sclerosis.pdf,,
Teclistamab_for_treating_relapsed_and_refractory_multiple_myeloma_after_3_or_more_treatments.pdf,,
Risankizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2.0,598.0
Durvalumab_with_gemcitabine_and_cisplatin_for_treating_unresectable_or_advanced_biliary_tract_cancer.pdf,1.0,685.0
Lenalidomide_with_rituximab_for_previously_treated_follicular_lymphoma.pdf,2.0,850.0
Letermovir_for_preventing_cytomegalovirus_disease_after_a_stem_cell_transplant.pdf,1.0,495.0
Bortezomib_for_previously_untreated_mantle_cell_lymphoma.pdf,,
Anhydrous_sodium_thiosulfate_for_preventing_hearing_loss_caused_by_cisplatin_chemotherapy_in_people_1_month_to_17_years_with_localised_solid_tumours.pdf,2.0,234.0
Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma.pdf,1.0,210.0
Dapagliflozin_for_treating_chronic_heart_failure_with_preserved_or_mildly_reduced_ejection_fraction.pdf,1.0,6264.0
Venetoclax_with_low_dose_cytarabine_for_untreated_acute_myeloid_leukaemia_when_intensive_chemotherapy_is_unsuitable.pdf,2.0,622.0
Brodalumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,3.0,5418.0
Reslizumab_for_treating_severe_eosinophilic_asthma.pdf,1.0,1052.0
Erenumab_for_preventing_migraine.pdf,4.0,2441.0
Venetoclax_with_rituximab_for_previously_treated_chronic_lymphocytic_leukaemia.pdf,1.0,389.0
Olaparib_with_abiraterone_for_untreated_hormone-relapsed_metastatic_prostate_cancer.pdf,1.0,796.0
Atezolizumab_for_untreated_PD-L1-positive_advanced_urothelial_cancer_when_cisplatin_is_unsuitable.pdf,,
"Atezolizumab_with_nab-paclitaxel_for_untreated_PD-L1-positive,_locally_advanced_or_metastatic,_triple-negative_breast_cancer.pdf",1.0,902.0
Radium-223_dichloride_for_treating_hormone-relapsed_prostate_cancer_with_bone_metastases.pdf,,
Atezolizumab_for_adjuvant_treatment_of_resected_non-small-cell_lung_cancer.pdf,1.0,507.0
Avelumab_with_axitinib_for_untreated_advanced_renal_cell_carcinoma.pdf,1.0,886.0
Brentuximab_vedotin_in_combination_for_untreated_systemic_anaplastic_large_cell_lymphoma.pdf,1.0,452.0
Lorlatinib_for_previously_treated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,1.0,275.0
"Ribociclib_with_an_aromatase_inhibitor_for_previously_untreated,_hormone_receptor-positive,_HER2-negative,_locally_advanced_or_metastatic_breast_cancer.pdf",1.0,668.0
Tofacitinib_for_treating_active_ankylosing_spondylitis.pdf,1.0,0.0
"Quizartinib_for_induction,_consolidation_and_maintenance_treatment_of_newly_diagnosed_FLT3-ITD-positive_acute_myeloid_leukaemia.pdf",1.0,539.0
Nivolumab_for_advanced_squamous_non-small-cell_lung_cancer_after_chemotherapy.pdf,1.0,272.0
Trastuzumab_emtansine_for_treating_HER2-positive_advanced_breast_cancer_after_trastuzumab_and_a_taxane.pdf,,
Brentuximab_vedotin_for_treating_CD30-positive_cutaneous_T-cell_lymphoma.pdf,3.0,128.0
Lutetium_(177Lu)_oxodotreotide_for_treating_unresectable_or_metastatic_neuroendocrine_tumours.pdf,,
"Abemaciclib_with_endocrine_therapy_for_adjuvant_treatment_of_hormone_receptor-positive,_HER2-negative,_node-positive_early_breast_cancer_at_high_risk_of_recurrence.pdf",1.0,5637.0
Pembrolizumab_for_treating_locally_advanced_or_metastatic_urothelial_carcinoma_after_platinum-containing_chemotherapy.pdf,,
Dinutuximab_beta_for_treating_neuroblastoma.pdf,2.0,540.0
Cabazitaxel_for_hormone-relapsed_metastatic_prostate_cancer_treated_with_docetaxel.pdf,1.0,755.0
Bimekizumab_for_treating_axial_spondyloarthritis.pdf,2.0,586.0
Fenfluramine_for_treating_seizures_associated_with_Dravet_syndrome.pdf,,
Brentuximab_vedotin_for_treating_CD30-positive_Hodgkin_lymphoma.pdf,,
Ponesimod_for_treating_relapsing–remitting_multiple_sclerosis.pdf,1.0,1110.0
Bevacizumab_gamma_for_treating_wet_age-related_macular_degeneration.pdf,1.0,228.0
Avelumab_for_treating_metastatic_Merkel_cell_carcinoma.pdf,,
Arsenic_trioxide_for_treating_acute_promyelocytic_leukaemia.pdf,3.0,451.0
Tenecteplase_for_treating_acute_ischaemic_stroke.pdf,2.0,1779.0
Lusutrombopag_for_treating_thrombocytopenia_in_people_with_chronic_liver_disease_needing_a_planned_invasive_procedure.pdf,,
Secukinumab_for_active_ankylosing_spondylitis_after_treatment_with_non-steroidal_anti-inflammatory_drugs_or_TNF-alpha_inhibitors.pdf,2.0,570.0
Brolucizumab_for_treating_diabetic_macular_oedema.pdf,2.0,926.0
Budesonide_orodispersible_tablet_for_inducing_remission_of_eosinophilic_oesophagitis.pdf,2.0,154.0
Evinacumab_for_treating_homozygous_familial_hypercholesterolaemia_in_people_12_years_and_over.pdf,3.0,152.0
Pegcetacoplan_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,1.0,70.0
Burosumab_for_treating_X-linked_hypophosphataemia_in_adults.pdf,,
"Nirmatrelvir_plus_ritonavir,_sotrovimab_and_tocilizumab_for_treating_COVID-19.pdf",1.0,3787.0
Ixazomib_with_lenalidomide_and_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma.pdf,,
Nivolumab_for_previously_treated_unresectable_advanced_or_recurrent_oesophageal_cancer.pdf,1.0,419.0
Iptacopan_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,2.0,96.0
Carfilzomib_with_dexamethasone_and_lenalidomide_for_previously_treated_multiple_myeloma.pdf,1.0,792.0
Ibrutinib_for_previously_treated_chronic_lymphocytic_leukaemia_and_untreated_chronic_lymphocytic_leukaemia_with_17p_deletion_or_TP53_mutation.pdf,1.0,391.0
Cabozantinib_for_treating_medullary_thyroid_cancer.pdf,1.0,331.0
Cemiplimab_for_treating_advanced_cutaneous_squamous_cell_carcinoma.pdf,,
Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma_in_people_3_years_and_over.pdf,1.0,81.0
Inclisiran_for_treating_primary_hypercholesterolaemia_or_mixed_dyslipidaemia.pdf,3.0,3660.0
Remdesivir_and_tixagevimab_plus_cilgavimab_for_treating_COVID-19.pdf,1.0,7165.0
Pembrolizumab_for_adjuvant_treatment_of_resected_non-small-cell_lung_cancer.pdf,1.0,1177.0
Trastuzumab_deruxtecan_for_treating_HER2-positive_unresectable_or_metastatic_breast_cancer_after_1_or_more_anti-HER2_treatments.pdf,1.0,524.0
Alirocumab_for_treating_primary_hypercholesterolaemia_and_mixed_dyslipidaemia.pdf,11.0,7158.0
Ceritinib_for_previously_treated_anaplastic_lymphoma_kinase_positive_non-small-cell_lung_cancer.pdf,,
Empagliflozin_for_treating_chronic_kidney_disease.pdf,1.0,6609.0
Brigatinib_for_treating_ALK-positive_advanced_non-small-cell_lung_cancer_after_crizotinib.pdf,1.0,222.0
Certolizumab_pegol_for_treating_rheumatoid_arthritis_after_inadequate_response_to_a_TNF-alpha_inhibitor.pdf,5.0,2942.0
Obinutuzumab_with_bendamustine_for_treating_follicular_lymphoma_after_rituximab.pdf,,
Peginterferon_beta-1a_for_treating_relapsing–remitting_multiple_sclerosis.pdf,2.0,1512.0
Nivolumab_for_adjuvant_treatment_of_completely_resected_melanoma_with_lymph_node_involvement_or_metastatic_disease.pdf,,
Atezolizumab_monotherapy_for_untreated_advanced_non-small-cell_lung_cancer.pdf,,
Durvalumab_with_chemotherapy_before_surgery_(neoadjuvant)_then_alone_after_surgery_(adjuvant)_for_treating_resectable_non-small-cell_lung_cancer.pdf,,
Upadacitinib_for_treating_moderate_rheumatoid_arthritis.pdf,,
"Nintedanib_for_previously_treated_locally_advanced,_metastatic,_or_locally_recurrent_non‑small‑cell_lung_cancer.pdf",,
"Pembrolizumab_for_previously_treated_endometrial,_biliary,_colorectal,_gastric_or_small_intestine_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf",2.0,307.0
Osimertinib_for_untreated_EGFR_mutation-positive_non-small-cell_lung_cancer.pdf,,
Fluocinolone_acetonide_intravitreal_implant_for_treating_recurrent_non-infectious_uveitis.pdf,1.0,129.0
Ravulizumab_for_treating_generalised_myasthenia_gravis_(terminated_appraisal).pdf,1.0,175.0
Baricitinib_for_treating_moderate_to_severe_atopic_dermatitis.pdf,4.0,1702.0
Tildrakizumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2.0,2335.0
Encorafenib_plus_cetuximab_for_previously_treated_BRAF_V600E_mutation-positive_metastatic_colorectal_cancer.pdf,,
Pertuzumab_for_the_neoadjuvant_treatment_of_HER2-positive_breast_cancer.pdf,,
Rimegepant_for_treating_migraine.pdf,1.0,741.0
Nivolumab_for_advanced_non-squamous_non-small-cell_lung_cancer_after_chemotherapy.pdf,,
Lenalidomide_plus_dexamethasone_for_previously_untreated_multiple_myeloma.pdf,,
Baricitinib_for_treating_severe_alopecia_areata.pdf,2.0,1200.0
Tebentafusp_for_treating_advanced_uveal_melanoma.pdf,1.0,369.0
Esketamine_nasal_spray_for_treatment-resistant_depression.pdf,,
Apalutamide_with_androgen_deprivation_therapy_for_treating_high-risk_hormone-relapsed_non-metastatic_prostate_cancer.pdf,,
Avelumab_for_maintenance_treatment_of_locally_advanced_or_metastatic_urothelial_cancer_after_platinum-based_chemotherapy.pdf,1.0,700.0
Nivolumab_for_treating_locally_advanced_unresectable_or_metastatic_urothelial_cancer_after_platinum-containing_chemotherapy.pdf,2.0,454.0
Mirikizumab_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,2.0,1637.0
Sotorasib_for_previously_treated_KRAS_G12C_mutation-positive_advanced_non-small-cell_lung_cancer.pdf,0.0,126.0
Elbasvir–grazoprevir_for_treating_chronic_hepatitis_C.pdf,7.0,1584.0
Axicabtagene_ciloleucel_for_treating_diffuse_large_B-cell_lymphoma_and_primary_mediastinal_large_B-cell_lymphoma_after_2_or_more_systemic_therapies.pdf,1.0,108.0
Exagamglogene_autotemcel_for_treating_transfusion-dependent_beta-thalassaemia_in_people_12_years_and_over.pdf,1.0,27.0
Nintedanib_for_treating_idiopathic_pulmonary_fibrosis.pdf,,
Pembrolizumab_for_treating_PD-L1-positive_non-small-cell_lung_cancer_after_chemotherapy.pdf,1.0,1034.0
Finerenone_for_treating_chronic_kidney_disease_in_type_2_diabetes.pdf,1.0,5734.0
Pembrolizumab_with_chemotherapy_before_surgery_(neoadjuvant)_then_alone_after_surgery_(adjuvant)_for_treating_resectable_non-small-cell_lung_cancer.pdf,1.0,797.0
Andexanet_alfa_for_reversing_anticoagulation_from_apixaban_or_rivaroxaban.pdf,1.0,249.0
Glecaprevir–pibrentasvir_for_treating_chronic_hepatitis_C.pdf,4.0,1000.0
Relugolix–estradiol–norethisterone_acetate_for_treating_moderate_to_severe_symptoms_of_uterine_fibroids.pdf,3.0,1636.0
Olaparib_for_adjuvant_treatment_of_BRCA_mutation-positive_HER2-negative_high-risk_early_breast_cancer_after_chemotherapy.pdf,,
Fluocinolone_acetonide_intravitreal_implant_for_treating_chronic_diabetic_macular_oedema.pdf,3.0,1420.0
Deucravacitinib_for_treating_moderate_to_severe_plaque_psoriasis.pdf,2.0,1600.0
Pemigatinib_for_treating_relapsed_or_refractory_advanced_cholangiocarcinoma_with_FGFR2_fusion_or_rearrangement.pdf,1.0,107.0
Dimethyl_fumarate_for_treating_moderate_to_severe_plaque_psoriasis.pdf,1.0,690.0
Encorafenib_with_binimetinib_for_unresectable_or_metastatic_BRAF_V600_mutation-positive_melanoma.pdf,4.0,576.0
Ozanimod_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,1.0,1171.0
Abiraterone_for_treating_metastatic_hormone-relapsed_prostate_cancer_before_chemotherapy_is_indicated.pdf,,
Brolucizumab_for_treating_wet_age-related_macular_degeneration.pdf,3.0,1950.0
Certolizumab_pegol_for_treating_moderate_to_severe_plaque_psoriasis.pdf,3.0,1324.0
Avatrombopag_for_treating_thrombocytopenia_in_people_with_chronic_liver_disease_needing_a_planned_invasive_procedure.pdf,,
Foslevodopa–foscarbidopa_for_treating_advanced_Parkinson’s_with_motor_symptoms.pdf,2.0,490.0
Elacestrant_for_treating_oestrogen_receptor-positive_HER2-negative_advanced_breast_cancer_with_an_ESR1_mutation_after_endocrine_treatment.pdf,1.0,478.0
Regorafenib_for_previously_treated_unresectable_or_metastatic_gastrointestinal_stromal_tumours.pdf,1.0,199.0
Pembrolizumab_for_untreated_metastatic_colorectal_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,0.0,0.0
Vutrisiran_for_treating_hereditary_transthyretin-related_amyloidosis.pdf,2.0,164.0
Eribulin_for_treating_locally_advanced_or_metastatic_breast_cancer_after_2_or_more_chemotherapy_regimens.pdf,3.0,1740.0
Tivozanib_for_treating_advanced_renal_cell_carcinoma.pdf,1.0,517.0
Osimertinib_for_treating_EGFR_T790M_mutation-positive_advanced_non-small-cell_lung_cancer.pdf,,
Pertuzumab_with_trastuzumab_and_docetaxel_for_treating_HER2-positive_breast_cancer.pdf,,
Zanubrutinib_for_treating_chronic_lymphocytic_leukaemia.pdf,1.0,652.0
Naldemedine_for_treating_opioid-induced_constipation.pdf,,
Selective_internal_radiation_therapies_for_treating_hepatocellular_carcinoma.pdf,2.0,46.0
Vortioxetine_for_treating_major_depressive_episodes.pdf,,
Treosulfan_with_fludarabine_for_malignant_disease_before_allogeneic_stem_cell_transplant.pdf,1.0,570.0
Secukinumab_for_treating_moderate_to_severe_plaque_psoriasis_in_children_and_young_people.pdf,2.0,240.0
Autologous_chondrocyte_implantation_for_treating_symptomatic_articular_cartilage_defects_of_the_knee.pdf,,
Mexiletine_for_treating_the_symptoms_of_myotonia_in_non-dystrophic_myotonic_disorders.pdf,1.0,25.0
Nivolumab_for_treating_advanced_(unresectable_or_metastatic)_melanoma.pdf,3.0,2345.0
Vandetanib_for_treating_medullary_thyroid_cancer.pdf,,
Ibrutinib_for_treating_Waldenstrom’s_macroglobulinaemia.pdf,,
Cabozantinib_for_untreated_advanced_renal_cell_carcinoma.pdf,1.0,157.0
Crizotinib_for_treating_ROS1-positive_advanced_non-small-cell_lung_cancer.pdf,8.0,661.0
Olaparib_for_previously_treated_BRCA_mutation-positive_hormone-relapsed_metastatic_prostate_cancer.pdf,,
Crovalimab_for_treating_paroxysmal_nocturnal_haemoglobinuria_in_people_12_years_and_over.pdf,2.0,308.0
Tixagevimab_plus_cilgavimab_for_preventing_COVID-19.pdf,2.0,5150.0
Eplontersen_for_treating_hereditary_transthyretin-related_amyloidosis.pdf,2.0,361.0
Vamorolone_for_treating_Duchenne_muscular_dystrophy_in_people_4_years_and_over.pdf,1.0,60.0
Oral_azacitidine_for_maintenance_treatment_of_acute_myeloid_leukaemia_after_induction_therapy.pdf,1.0,472.0
Autologous_chondrocyte_implantation_using_chondrosphere_for_treating_symptomatic_articular_cartilage_defects_of_the_knee.pdf,1.0,102.0
Ritlecitinib_for_treating_severe_alopecia_areata_in_people_12_years_and_over.pdf,,
Empagliflozin_for_treating_chronic_heart_failure_with_preserved_or_mildly_reduced_ejection_fraction.pdf,1.0,5988.0
Avalglucosidase_alfa_for_treating_Pompe_disease.pdf,3.0,145.0
Etrasimod_for_treating_moderately_to_severely_active_ulcerative_colitis_in_people_aged_16_and_over.pdf,2.0,1143.0
Enzalutamide_for_treating_hormone-sensitive_metastatic_prostate_cancer.pdf,1.0,1100.0
Fulvestrant_for_untreated_locally_advanced_or_metastatic_oestrogen-receptor_positive_breast_cancer.pdf,1.0,205.0
