Title,Decision,Decision_Date,PDF File,Application Date,Disease_Category,HT_Category
Maribavir for treating refractory cytomegalovirus infection after transplant,Conditional,2023-01-18,Maribavir_for_treating_refractory_cytomegalovirus_infection_after_transplant.pdf,,Rare Disease (Orphan Drugs),Drug
Angiotensin II for treating vasosuppressor-resistant hypotension caused by septic or distributive shock (terminated appraisal),Rejected,2023-01-16,Angiotensin_II_for_treating_vasosuppressor-resistant_hypotension_caused_by_septic_or_distributive_shock_(terminated_appraisal).pdf,,Cardiovascular,Drug
"Nivolumab with platinum- and fluoropyrimidine-based chemotherapy for untreated HER2-negative advanced gastric, gastro-oesophageal junction or oesophageal adenocarcinoma",Approved,2023-01-11,"Nivolumab_with_platinum-_and_fluoropyrimidine-based_chemotherapy_for_untreated_HER2-negative_advanced_gastric,_gastro-oesophageal_junction_or_oesophageal_adenocarcinoma.pdf",2021-02,Cancer,Drug
Lenvatinib with pembrolizumab for untreated advanced renal cell carcinoma,Conditional,2023-01-11,Lenvatinib_with_pembrolizumab_for_untreated_advanced_renal_cell_carcinoma.pdf,2021-11,Cancer,Drug
Upadacitinib for treating moderately to severely active ulcerative colitis,Approved,2023-01-04,Upadacitinib_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,2022-04,Chronic,Drug
Avatrombopag for treating primary chronic immune thrombocytopenia,Approved,2022-12-15,Avatrombopag_for_treating_primary_chronic_immune_thrombocytopenia.pdf,2021-09,Rare Disease (Orphan Drugs),Drug
Cabozantinib for previously treated advanced hepatocellular carcinoma,Conditional,2022-12-14,Cabozantinib_for_previously_treated_advanced_hepatocellular_carcinoma.pdf,2022-02,Cancer,Drug
Amivantamab for treating EGFR exon 20 insertion mutation-positive advanced non-small-cell lung cancer after platinum-based chemotherapy,Rejected,2022-12-14,Amivantamab_for_treating_EGFR_exon_20_insertion_mutation-positive_advanced_non-small-cell_lung_cancer_after_platinum-based_chemotherapy.pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Pembrolizumab for neoadjuvant and adjuvant treatment of triple-negative early or locally advanced breast cancer,Approved,2022-12-14,Pembrolizumab_for_neoadjuvant_and_adjuvant_treatment_of_triple-negative_early_or_locally_advanced_breast_cancer.pdf,2021-11,Cancer,Drug
Trifluridine–tipiracil for treating metastatic gastric cancer or gastro-oesophageal junction adenocarcinoma after 2 or more treatments,Approved,2022-12-14,Trifluridine–tipiracil_for_treating_metastatic_gastric_cancer_or_gastro-oesophageal_junction_adenocarcinoma_after_2_or_more_treatments.pdf,2019-06,Cancer,Drug
Esketamine nasal spray for treatment-resistant depression,Rejected,2022-12-14,Esketamine_nasal_spray_for_treatment-resistant_depression.pdf,2019-07,Nervous System,Drug
Cemiplimab for untreated PD-L1-positive advanced or metastatic non-small-cell lung cancer (terminated appraisal),Rejected,2022-12-01,Cemiplimab_for_untreated_PD-L1-positive_advanced_or_metastatic_non-small-cell_lung_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Mepolizumab for treating eosinophilic granulomatosis with polyangiitis (terminated appraisal),Rejected,2022-11-29,Mepolizumab_for_treating_eosinophilic_granulomatosis_with_polyangiitis_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
Mepolizumab for treating severe hypereosinophilic syndrome (terminated appraisal),Rejected,2022-11-29,Mepolizumab_for_treating_severe_hypereosinophilic_syndrome_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
Mepolizumab for treating severe chronic rhinosinusitis with nasal polyps (terminated appraisal),Rejected,2022-11-29,Mepolizumab_for_treating_severe_chronic_rhinosinusitis_with_nasal_polyps_(terminated_appraisal).pdf,,Chronic,Drug
Luspatercept for treating anaemia caused by myelodysplastic syndromes (terminated appraisal),Rejected,2022-11-24,Luspatercept_for_treating_anaemia_caused_by_myelodysplastic_syndromes_(terminated_appraisal).pdf,,"Chronic, Rare Disease (Orphan Drugs)",Drug
Luspatercept for treating anaemia caused by beta-thalassaemia (terminated appraisal),Rejected,2022-11-24,Luspatercept_for_treating_anaemia_caused_by_beta-thalassaemia_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
Carfilzomib with daratumumab and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),Rejected,2022-11-22,Carfilzomib_with_daratumumab_and_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma_(terminated_appraisal).pdf,,Cancer,Drug
Tisagenlecleucel for treating follicular lymphoma after 2 or more therapies (terminated appraisal),Rejected,2022-11-22,Tisagenlecleucel_for_treating_follicular_lymphoma_after_2_or_more_therapies_(terminated_appraisal).pdf,,Cancer,Drug
Ruxolitinib for treating acute graft versus host disease refractory to corticosteroids (terminated appraisal),Rejected,2022-11-16,Ruxolitinib_for_treating_acute_graft_versus_host_disease_refractory_to_corticosteroids_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
"Ruxolitinib for treating chronic graft versus host disease refractory to corticosteroids 
 (terminated appraisal)",Rejected,2022-11-16,"Ruxolitinib_for_treating_chronic_graft_versus_host_disease_refractory_to_corticosteroids_
_(terminated_appraisal).pdf",,Chronic,Drug
Slow-release potassium bicarbonate–potassium citrate for treating distal renal tubular acidosis (terminated appraisal),Rejected,2022-11-02,Slow-release_potassium_bicarbonate–potassium_citrate_for_treating_distal_renal_tubular_acidosis_(terminated_appraisal).pdf,2021-11,Urinary-Track Diseases,Drug
Pembrolizumab for adjuvant treatment of resected stage 2B or 2C melanoma,Conditional,2022-10-26,Pembrolizumab_for_adjuvant_treatment_of_resected_stage_2B_or_2C_melanoma.pdf,2022-02,Cancer,Drug
"Palbociclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",Conditional,2022-10-26,"Palbociclib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative_advanced_breast_cancer_after_endocrine_therapy.pdf",2019-04,Cancer,Drug
Pembrolizumab for adjuvant treatment of renal cell carcinoma,Conditional,2022-10-19,Pembrolizumab_for_adjuvant_treatment_of_renal_cell_carcinoma.pdf,2021-11,Cancer,Drug
Relugolix–estradiol–norethisterone acetate for treating moderate to severe symptoms of uterine fibroids,Approved,2022-10-19,Relugolix–estradiol–norethisterone_acetate_for_treating_moderate_to_severe_symptoms_of_uterine_fibroids.pdf,2021-10,Obstetrics/Gynaecology,Drug
Zanubrutinib for treating Waldenstrom’s macroglobulinaemia,Conditional,2022-10-19,Zanubrutinib_for_treating_Waldenstrom’s_macroglobulinaemia.pdf,2021-03,"Cancer, Rare Disease (Orphan Drugs)",Drug
Fostamatinib for treating refractory chronic immune thrombocytopenia,Conditional,2022-10-19,Fostamatinib_for_treating_refractory_chronic_immune_thrombocytopenia.pdf,,Rare Disease (Orphan Drugs),Drug
SQ HDM SLIT for treating allergic rhinitis and allergic asthma caused by house dust mites (terminated appraisal),Rejected,2022-10-12,SQ_HDM_SLIT_for_treating_allergic_rhinitis_and_allergic_asthma_caused_by_house_dust_mites_(terminated_appraisal).pdf,,Chronic,Drug
Oral azacitidine for maintenance treatment of acute myeloid leukaemia after induction therapy,Approved,2022-10-05,Oral_azacitidine_for_maintenance_treatment_of_acute_myeloid_leukaemia_after_induction_therapy.pdf,2021-12,Cancer,Drug
Ozanimod for treating moderately to severely active ulcerative colitis,Conditional,2022-10-05,Ozanimod_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,,Chronic,Drug
Upadacitinib for treating active ankylosing spondylitis,Conditional,2022-09-30,Upadacitinib_for_treating_active_ankylosing_spondylitis.pdf,2021-11,Musculoskeletal diseases,Drug
Atezolizumab for adjuvant treatment of resected non-small-cell lung cancer,Approved,2022-09-28,Atezolizumab_for_adjuvant_treatment_of_resected_non-small-cell_lung_cancer.pdf,2021-10,Cancer,Drug
Avacopan for treating severe active granulomatosis with polyangiitis or microscopic polyangiitis,Conditional,2022-09-21,Avacopan_for_treating_severe_active_granulomatosis_with_polyangiitis_or_microscopic_polyangiitis.pdf,,Rare Disease (Orphan Drugs),Drug
Vedolizumab for treating chronic refractory pouchitis after surgery for ulcerative colitis (terminated appraisal),Rejected,2022-09-21,Vedolizumab_for_treating_chronic_refractory_pouchitis_after_surgery_for_ulcerative_colitis_(terminated_appraisal).pdf,,Chronic,Drug
Melphalan for haematological diseases before allogeneic haematopoietic stem cell transplant (terminated appraisal),Rejected,2022-09-14,Melphalan_for_haematological_diseases_before_allogeneic_haematopoietic_stem_cell_transplant_(terminated_appraisal).pdf,,Cancer,Drug
Dexamethasone intravitreal implant for treating diabetic macular oedema,Conditional,2022-09-14,Dexamethasone_intravitreal_implant_for_treating_diabetic_macular_oedema.pdf,2022-01,Chronic,Drug
Brolucizumab for treating diabetic macular oedema,Conditional,2022-08-31,Brolucizumab_for_treating_diabetic_macular_oedema.pdf,2022-03,Chronic,Drug
Avalglucosidase alfa for treating Pompe disease,Conditional,2022-08-24,Avalglucosidase_alfa_for_treating_Pompe_disease.pdf,2021-11,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Sacituzumab govitecan for treating unresectable triple-negative advanced breast cancer after 2 or more therapies,Conditional,2022-08-17,Sacituzumab_govitecan_for_treating_unresectable_triple-negative_advanced_breast_cancer_after_2_or_more_therapies.pdf,2021-09,Cancer,Drug
Nivolumab with ipilimumab for untreated unresectable malignant pleural mesothelioma,Conditional,2022-08-17,Nivolumab_with_ipilimumab_for_untreated_unresectable_malignant_pleural_mesothelioma.pdf,,Cancer,Drug
Guselkumab for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2022-08-10,Guselkumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,,"Chronic, Musculoskeletal diseases",Drug
"Alpelisib with fulvestrant for treating hormone receptor-positive, HER2-negative, PIK3CA-mutated advanced breast cancer",Conditional,2022-08-10,"Alpelisib_with_fulvestrant_for_treating_hormone_receptor-positive,_HER2-negative,_PIK3CA-mutated_advanced_breast_cancer.pdf",2021-07,Cancer,Drug
Nivolumab for adjuvant treatment of invasive urothelial cancer at high risk of recurrence,Conditional,2022-08-10,Nivolumab_for_adjuvant_treatment_of_invasive_urothelial_cancer_at_high_risk_of_recurrence.pdf,2021-06,"Cancer, Urinary-Track Diseases",Drug
Pralsetinib for treating RET fusion-positive advanced non-small-cell lung cancer,Rejected,2022-08-03,Pralsetinib_for_treating_RET_fusion-positive_advanced_non-small-cell_lung_cancer.pdf,2021-08,Cancer,Drug
Asciminib for treating chronic myeloid leukaemia after 2 or more tyrosine kinase inhibitors,Conditional,2022-08-03,Asciminib_for_treating_chronic_myeloid_leukaemia_after_2_or_more_tyrosine_kinase_inhibitors.pdf,,Cancer,Drug
"Abrocitinib, tralokinumab or upadacitinib for treating moderate to severe atopic dermatitis",Conditional,2022-08-03,"Abrocitinib,_tralokinumab_or_upadacitinib_for_treating_moderate_to_severe_atopic_dermatitis.pdf",2021-02,Chronic,Drug
Duvelisib for treating relapsed or refractory chronic lymphocytic leukaemia after 2 or more treatments (terminated appraisal),Rejected,2022-07-27,Duvelisib_for_treating_relapsed_or_refractory_chronic_lymphocytic_leukaemia_after_2_or_more_treatments_(terminated_appraisal).pdf,,Cancer,Drug
Imlifidase for desensitisation treatment before kidney transplant in people with chronic kidney disease,Approved,2022-07-20,Imlifidase_for_desensitisation_treatment_before_kidney_transplant_in_people_with_chronic_kidney_disease.pdf,2020-09,"Chronic, Urinary-Track Diseases",Drug
"Abemaciclib with endocrine therapy for adjuvant treatment of hormone receptor-positive, HER2-negative, node-positive early breast cancer at high risk of recurrence",Approved,2022-07-20,"Abemaciclib_with_endocrine_therapy_for_adjuvant_treatment_of_hormone_receptor-positive,_HER2-negative,_node-positive_early_breast_cancer_at_high_risk_of_recurrence.pdf",2021-11,Cancer,Drug
Risankizumab for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2022-07-13,Risankizumab_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,2022-02,"Chronic, Musculoskeletal diseases",Drug
Icosapent ethyl with statin therapy for reducing the risk of cardiovascular events in people with raised triglycerides,Conditional,2022-07-13,Icosapent_ethyl_with_statin_therapy_for_reducing_the_risk_of_cardiovascular_events_in_people_with_raised_triglycerides.pdf,2021-10,"Cardiovascular, Chronic",Drug
Belimumab for treating lupus nephritis (terminated appraisal),Rejected,2022-07-13,Belimumab_for_treating_lupus_nephritis_(terminated_appraisal).pdf,,"Chronic, Urinary-Track Diseases",Drug
Roxadustat for treating symptomatic anaemia in chronic kidney disease,Conditional,2022-07-13,Roxadustat_for_treating_symptomatic_anaemia_in_chronic_kidney_disease.pdf,2021-06,"Chronic, Urinary-Track Diseases",Drug
Fenfluramine for treating seizures associated with Dravet syndrome,Conditional,2022-07-08,Fenfluramine_for_treating_seizures_associated_with_Dravet_syndrome.pdf,,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs), Nervous System",Drug
Teduglutide for treating short bowel syndrome,Conditional,2022-06-30,Teduglutide_for_treating_short_bowel_syndrome.pdf,,Rare Disease (Orphan Drugs),Drug
Faricimab for treating diabetic macular oedema,Conditional,2022-06-29,Faricimab_for_treating_diabetic_macular_oedema.pdf,2021-10,Chronic,Drug
Faricimab for treating wet age-related macular degeneration,Conditional,2022-06-29,Faricimab_for_treating_wet_age-related_macular_degeneration.pdf,2021-11,Nervous System,Drug
"Pembrolizumab plus chemotherapy for untreated, triple-negative, locally recurrent unresectable or metastatic breast cancer",Conditional,2022-06-29,"Pembrolizumab_plus_chemotherapy_for_untreated,_triple-negative,_locally_recurrent_unresectable_or_metastatic_breast_cancer.pdf",2021-01,Cancer,Drug
Cemiplimab for treating advanced cutaneous squamous cell carcinoma,Conditional,2022-06-29,Cemiplimab_for_treating_advanced_cutaneous_squamous_cell_carcinoma.pdf,2022-01,Cancer,Drug
Durvalumab for maintenance treatment of unresectable non-small-cell lung cancer after platinum-based chemoradiation,Conditional,2022-06-22,Durvalumab_for_maintenance_treatment_of_unresectable_non-small-cell_lung_cancer_after_platinum-based_chemoradiation.pdf,2022-01,Cancer,Drug
Venetoclax for treating chronic lymphocytic leukaemia,Approved,2022-06-15,Venetoclax_for_treating_chronic_lymphocytic_leukaemia.pdf,2021-11,Cancer,Drug
Enfortumab vedotin for previously treated locally advanced or metastatic urothelial cancer (terminated appraisal),Rejected,2022-06-15,Enfortumab_vedotin_for_previously_treated_locally_advanced_or_metastatic_urothelial_cancer_(terminated_appraisal).pdf,,"Urinary-Track Diseases, Cancer",Drug
Anifrolumab for treating active autoantibody-positive systemic lupus erythematosus (terminated appraisal),Rejected,2022-06-08,Anifrolumab_for_treating_active_autoantibody-positive_systemic_lupus_erythematosus_(terminated_appraisal).pdf,,Chronic,Drug
Diroximel fumarate for treating relapsing–remitting multiple sclerosis,Conditional,2022-06-08,Diroximel_fumarate_for_treating_relapsing–remitting_multiple_sclerosis.pdf,2021-11,Nervous System,Drug
Ibrutinib for treating Waldenstrom’s macroglobulinaemia,Rejected,2022-06-08,Ibrutinib_for_treating_Waldenstrom’s_macroglobulinaemia.pdf,2021-07,"Cancer, Rare Disease (Orphan Drugs)",Drug
Filgotinib for treating moderately to severely active ulcerative colitis,Approved,2022-06-01,Filgotinib_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,,Chronic,Drug
TYRX Absorbable Antibacterial Envelope for preventing infection from cardiac implantable electronic devices (terminated appraisal),Rejected,2022-05-25,TYRX_Absorbable_Antibacterial_Envelope_for_preventing_infection_from_cardiac_implantable_electronic_devices_(terminated_appraisal).pdf,,Cardiovascular,Medical Device
Romosozumab for treating severe osteoporosis,Conditional,2022-05-25,Romosozumab_for_treating_severe_osteoporosis.pdf,2021-06,Musculoskeletal diseases,Drug
Tepotinib for treating advanced non-small-cell lung cancer with MET gene alterations,Conditional,2022-05-18,Tepotinib_for_treating_advanced_non-small-cell_lung_cancer_with_MET_gene_alterations.pdf,2021-08,Cancer,Drug
Avelumab for maintenance treatment of locally advanced or metastatic urothelial cancer after platinum-based chemotherapy,Conditional,2022-05-11,Avelumab_for_maintenance_treatment_of_locally_advanced_or_metastatic_urothelial_cancer_after_platinum-based_chemotherapy.pdf,2020-10,"Cancer, Urinary-Track Diseases",Drug
Tucatinib with trastuzumab and capecitabine for treating HER2-positive advanced breast cancer after 2 or more anti-HER2 therapies,Conditional,2022-04-27,Tucatinib_with_trastuzumab_and_capecitabine_for_treating_HER2-positive_advanced_breast_cancer_after_2_or_more_anti-HER2_therapies.pdf,2021-04,Cancer,Drug
Venetoclax with low dose cytarabine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable,Conditional,2022-04-27,Venetoclax_with_low_dose_cytarabine_for_untreated_acute_myeloid_leukaemia_when_intensive_chemotherapy_is_unsuitable.pdf,,Cancer,Drug
"Niraparib for maintenance treatment of relapsed, platinum-sensitive ovarian, fallopian tube and peritoneal cancer",Conditional,2022-04-20,"Niraparib_for_maintenance_treatment_of_relapsed,_platinum-sensitive_ovarian,_fallopian_tube_and_peritoneal_cancer.pdf",,Cancer,Drug
Nivolumab with cabozantinib for untreated advanced renal cell carcinoma (terminated appraisal),Rejected,2022-04-20,Nivolumab_with_cabozantinib_for_untreated_advanced_renal_cell_carcinoma_(terminated_appraisal).pdf,,Cancer,Drug
Daratumumab monotherapy for treating relapsed and refractory multiple myeloma,Conditional,2022-04-13,Daratumumab_monotherapy_for_treating_relapsed_and_refractory_multiple_myeloma.pdf,2021-10,Cancer,Drug
Sotorasib for previously treated KRAS G12C mutation-positive advanced non-small-cell lung cancer,Conditional,2022-03-30,Sotorasib_for_previously_treated_KRAS_G12C_mutation-positive_advanced_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Tagraxofusp for treating blastic plasmacytoid dendritic cell neoplasm (terminated appraisal),Rejected,2022-03-30,Tagraxofusp_for_treating_blastic_plasmacytoid_dendritic_cell_neoplasm_(terminated_appraisal).pdf,,"Cancer, Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Nivolumab with ipilimumab for untreated advanced renal cell carcinoma,Approved,2022-03-24,Nivolumab_with_ipilimumab_for_untreated_advanced_renal_cell_carcinoma.pdf,2021-09,Cancer,Drug
Dostarlimab for previously treated advanced or recurrent endometrial cancer with high microsatellite instability or mismatch repair deficiency,Conditional,2022-03-16,Dostarlimab_for_previously_treated_advanced_or_recurrent_endometrial_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf,,Cancer,Drug
Lenalidomide for relapsed or refractory mantle cell lymphoma (terminated appraisal),Rejected,2022-03-09,Lenalidomide_for_relapsed_or_refractory_mantle_cell_lymphoma_(terminated_appraisal).pdf,,Cancer,Drug
Empagliflozin for treating chronic heart failure with reduced ejection fraction,Conditional,2022-03-09,Empagliflozin_for_treating_chronic_heart_failure_with_reduced_ejection_fraction.pdf,,"Cardiovascular, Chronic",Drug
Pitolisant hydrochloride for treating excessive daytime sleepiness caused by obstructive sleep apnoea,Rejected,2022-03-09,Pitolisant_hydrochloride_for_treating_excessive_daytime_sleepiness_caused_by_obstructive_sleep_apnoea.pdf,2020-05,Chronic,Drug
Solriamfetol for treating excessive daytime sleepiness caused by obstructive sleep apnoea,Rejected,2022-03-09,Solriamfetol_for_treating_excessive_daytime_sleepiness_caused_by_obstructive_sleep_apnoea.pdf,2020-05,"Chronic, Nervous System",Drug
Pegcetacoplan for treating paroxysmal nocturnal haemoglobinuria,Conditional,2022-03-09,Pegcetacoplan_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,2021-05,"Rare Disease (Orphan Drugs), Ultra-Rare Disease (Ultra Orphan Drugs)",Drug
Dapagliflozin for treating chronic kidney disease,Conditional,2022-03-09,Dapagliflozin_for_treating_chronic_kidney_disease.pdf,2021-04,"Chronic, Urinary-Track Diseases",Drug
Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma after stem cell transplant or at least 2 previous therapies,Conditional,2022-02-23,Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma_after_stem_cell_transplant_or_at_least_2_previous_therapies.pdf,2020-09,Cancer,Drug
Pembrolizumab with carboplatin and paclitaxel for untreated metastatic squamous non-small-cell lung cancer,Conditional,2022-02-09,Pembrolizumab_with_carboplatin_and_paclitaxel_for_untreated_metastatic_squamous_non-small-cell_lung_cancer.pdf,2020-02,Cancer,Drug
"Daratumumab with bortezomib, melphalan and prednisone for untreated multiple myeloma (terminated appraisal)",Rejected,2022-02-09,"Daratumumab_with_bortezomib,_melphalan_and_prednisone_for_untreated_multiple_myeloma_(terminated_appraisal).pdf",,Cancer,Drug
Daratumumab in combination for untreated multiple myeloma when a stem cell transplant is suitable,Conditional,2022-02-02,Daratumumab_in_combination_for_untreated_multiple_myeloma_when_a_stem_cell_transplant_is_suitable.pdf,2020-09,Cancer,Drug
Fremanezumab for preventing migraine,Conditional,2022-02-02,Fremanezumab_for_preventing_migraine.pdf,2019-04,Nervous System,Drug
Venetoclax with azacitidine for untreated acute myeloid leukaemia when intensive chemotherapy is unsuitable,Conditional,2022-02-02,Venetoclax_with_azacitidine_for_untreated_acute_myeloid_leukaemia_when_intensive_chemotherapy_is_unsuitable.pdf,,Cancer,Drug
Pembrolizumab for adjuvant treatment of completely resected stage 3 melanoma,Conditional,2022-02-02,Pembrolizumab_for_adjuvant_treatment_of_completely_resected_stage_3_melanoma.pdf,2021-08,Cancer,Drug
Ponesimod for treating relapsing–remitting multiple sclerosis,Conditional,2022-02-02,Ponesimod_for_treating_relapsing–remitting_multiple_sclerosis.pdf,,Nervous System,Drug
Upadacitinib for treating active psoriatic arthritis after inadequate response to DMARDs,Conditional,2022-02-02,Upadacitinib_for_treating_active_psoriatic_arthritis_after_inadequate_response_to_DMARDs.pdf,,"Chronic, Musculoskeletal diseases",Drug
Palforzia for treating peanut allergy in children and young people,Approved,2022-02-02,Palforzia_for_treating_peanut_allergy_in_children_and_young_people.pdf,2021-05,Rare Disease (Orphan Drugs),Drug
Sodium zirconium cyclosilicate for treating hyperkalaemia,Conditional,2019-09-04,Sodium_zirconium_cyclosilicate_for_treating_hyperkalaemia.pdf,,Cardiovascular,Drug
Osimertinib for adjuvant treatment of EGFR mutation-positive non-small-cell lung cancer after complete tumour resection,Conditional,2022-01-19,Osimertinib_for_adjuvant_treatment_of_EGFR_mutation-positive_non-small-cell_lung_cancer_after_complete_tumour_resection.pdf,,Cancer,Drug
Cabotegravir with rilpivirine for treating HIV-1,Approved,2022-01-05,Cabotegravir_with_rilpivirine_for_treating_HIV-1.pdf,2021-02,Chronic,Drug
Solriamfetol for treating excessive daytime sleepiness caused by narcolepsy,Conditional,2022-01-05,Solriamfetol_for_treating_excessive_daytime_sleepiness_caused_by_narcolepsy.pdf,2020-01,Nervous System,Drug
Belimumab for treating active autoantibody-positive systemic lupus erythematosus,Conditional,2021-12-15,Belimumab_for_treating_active_autoantibody-positive_systemic_lupus_erythematosus.pdf,2020-11,Chronic,Drug
Cenobamate for treating focal onset seizures in epilepsy,Conditional,2021-12-15,Cenobamate_for_treating_focal_onset_seizures_in_epilepsy.pdf,2020-12,Nervous System,Drug
Mogamulizumab for previously treated mycosis fungoides and Sézary syndrome,Conditional,2021-12-15,Mogamulizumab_for_previously_treated_mycosis_fungoides_and_Sézary_syndrome.pdf,2020-01,"Cancer, Rare Disease (Orphan Drugs)",Drug
Olaparib for maintenance treatment of BRCA mutation-positive metastatic pancreatic cancer after platinum-based chemotherapy (terminated appraisal),Rejected,2021-12-08,Olaparib_for_maintenance_treatment_of_BRCA_mutation-positive_metastatic_pancreatic_cancer_after_platinum-based_chemotherapy_(terminated_appraisal).pdf,,Cancer,Drug
Dupilumab for treating severe asthma with type 2 inflammation,Conditional,2021-12-08,Dupilumab_for_treating_severe_asthma_with_type_2_inflammation.pdf,,Chronic,Drug
Mexiletine for treating the symptoms of myotonia in non-dystrophic myotonic disorders,Conditional,2021-12-01,Mexiletine_for_treating_the_symptoms_of_myotonia_in_non-dystrophic_myotonic_disorders.pdf,2019-12,"Chronic, Nervous System, Rare Disease (Orphan Drugs)",Drug
Liraglutide for managing obesity in people aged 12 to 17 years (terminated appraisal),Rejected,2021-12-01,Liraglutide_for_managing_obesity_in_people_aged_12_to_17_years_(terminated_appraisal).pdf,,Chronic,Drug
Nivolumab for adjuvant treatment of resected oesophageal or gastro-oesophageal junction cancer,Conditional,2021-11-17,Nivolumab_for_adjuvant_treatment_of_resected_oesophageal_or_gastro-oesophageal_junction_cancer.pdf,2021-03,Cancer,Drug
Nintedanib for treating progressive fibrosing interstitial lung diseases,Approved,2021-11-17,Nintedanib_for_treating_progressive_fibrosing_interstitial_lung_diseases.pdf,,Rare Disease (Orphan Drugs),Drug
Upadacitinib for treating moderate rheumatoid arthritis,Conditional,2021-11-10,Upadacitinib_for_treating_moderate_rheumatoid_arthritis.pdf,,Musculoskeletal diseases,Drug
NBTXR-3 for treating advanced soft tissue sarcoma (terminated appraisal),Rejected,2021-11-10,NBTXR-3_for_treating_advanced_soft_tissue_sarcoma_(terminated_appraisal).pdf,,Cancer,Drug
Apalutamide with androgen deprivation therapy for treating high-risk hormone-relapsed non-metastatic prostate cancer,Conditional,2021-10-28,Apalutamide_with_androgen_deprivation_therapy_for_treating_high-risk_hormone-relapsed_non-metastatic_prostate_cancer.pdf,2020-07,Cancer,Drug
Apalutamide with androgen deprivation therapy for treating hormone-sensitive metastatic prostate cancer,Conditional,2021-10-28,Apalutamide_with_androgen_deprivation_therapy_for_treating_hormone-sensitive_metastatic_prostate_cancer.pdf,2020-07,Cancer,Drug
Atezolizumab for untreated PD-L1-positive advanced urothelial cancer when cisplatin is unsuitable,Conditional,2021-10-27,Atezolizumab_for_untreated_PD-L1-positive_advanced_urothelial_cancer_when_cisplatin_is_unsuitable.pdf,2021-05,"Cancer, Urinary-Track Diseases",Drug
Tofacitinib for treating juvenile idiopathic arthritis,Conditional,2021-10-20,Tofacitinib_for_treating_juvenile_idiopathic_arthritis.pdf,2021-02,Musculoskeletal diseases,Drug
Nivolumab for treating recurrent or metastatic squamous cell carcinoma of the head and neck after platinum-based chemotherapy,Conditional,2021-10-20,Nivolumab_for_treating_recurrent_or_metastatic_squamous_cell_carcinoma_of_the_head_and_neck_after_platinum-based_chemotherapy.pdf,2020-02,Cancer,Drug
Berotralstat for preventing recurrent attacks of hereditary angioedema,Conditional,2021-10-20,Berotralstat_for_preventing_recurrent_attacks_of_hereditary_angioedema.pdf,2020-12,Rare Disease (Orphan Drugs),Drug
Secukinumab for treating moderate to severe plaque psoriasis in children and young people,Conditional,2021-10-07,Secukinumab_for_treating_moderate_to_severe_plaque_psoriasis_in_children_and_young_people.pdf,2021-02,Chronic,Drug
Baloxavir marboxil for treating acute uncomplicated influenza (terminated appraisal),Rejected,2021-10-06,Baloxavir_marboxil_for_treating_acute_uncomplicated_influenza_(terminated_appraisal).pdf,,NULL,Drug
Inclisiran for treating primary hypercholesterolaemia or mixed dyslipidaemia,Conditional,2021-10-06,Inclisiran_for_treating_primary_hypercholesterolaemia_or_mixed_dyslipidaemia.pdf,2020-10,"Cardiovascular, Chronic",Drug
Avapritinib for treating unresectable or metastatic gastrointestinal stromal tumours (terminated appraisal),Rejected,2021-09-29,Avapritinib_for_treating_unresectable_or_metastatic_gastrointestinal_stromal_tumours_(terminated_appraisal).pdf,2020-04,"Cancer, Rare Disease (Orphan Drugs)",Drug
Vericiguat for treating chronic heart failure with reduced ejection fraction (terminated appraisal),Rejected,2021-09-29,Vericiguat_for_treating_chronic_heart_failure_with_reduced_ejection_fraction_(terminated_appraisal).pdf,,"Cardiovascular, Chronic",Drug
